Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Frame,X/pixels,Y/pixels,Normalised intensity/AU,Included in distribution?,
0,147.266,3.19072e+006,0,401.559,21.7106,28.5992,False,
0,147.266,3.19072e+006,1,404.542,24.5357,23.1558,False,
2,399.796,1.17531e+006,0,405.555,54.0196,32.5344,False,
2,399.796,1.17531e+006,1,408.494,55.6529,39.7984,False,
2,399.796,1.17531e+006,2,410.094,55.869,46.46,False,
3,60.691,7.74223e+006,0,526.228,55.4395,21.9101,False,
3,60.691,7.74223e+006,1,525.429,60.5307,46.871,False,
3,60.691,7.74223e+006,2,523.256,63.6992,31.3049,False,
3,60.691,7.74223e+006,3,522.537,55.7275,44.7372,False,
5,1866.41,251759,0,378.315,88.462,35.5092,False,
5,1866.41,251759,1,379.01,87.5089,30.3569,False,
5,1866.41,251759,2,379.03,86.0782,11.1232,False,
7,1332.36,352671,0,214.324,102.388,30.4141,False,
7,1332.36,352671,1,215.929,103.495,38.7638,False,
7,1332.36,352671,2,215.924,104.31,43.9072,False,
17,25833.9,18188.6,0,284.138,161.531,48.4006,False,
17,25833.9,18188.6,1,283.867,160.778,46.7042,False,
18,498.184,943193,0,79.4403,189.844,60.1643,True,
18,498.184,943193,1,77.9307,190.144,61.3001,True,
18,498.184,943193,2,72.68,192.326,51.8569,True,
18,498.184,943193,3,73.2264,190.053,53.2473,True,
18,498.184,943193,4,73.2349,191.273,36.0008,True,
18,498.184,943193,5,76.2633,190.204,68.1366,True,
18,498.184,943193,6,74.4228,190.95,61.3512,True,
18,498.184,943193,7,78.087,189.266,58.6324,True,
18,498.184,943193,8,78.4713,189.382,66.0704,True,
18,498.184,943193,9,78.0005,189.108,70.8724,True,
18,498.184,943193,10,76.7424,189.445,76.2561,True,
18,498.184,943193,11,77.1979,189.46,65.6219,True,
18,498.184,943193,12,78.1045,189.533,56.0518,True,
18,498.184,943193,13,75.4994,190.416,53.0544,True,
18,498.184,943193,14,77.3717,189.924,62.3531,True,
18,498.184,943193,15,78.6169,189.251,58.5033,True,
18,498.184,943193,16,76.9127,187.961,46.4064,True,
18,498.184,943193,17,81.1053,187.064,52.4552,True,
18,498.184,943193,18,77.6903,189.077,55.7189,True,
18,498.184,943193,19,77.8526,189.097,67.2742,True,
18,498.184,943193,20,77.4779,189.436,66.8556,True,
18,498.184,943193,21,76.7025,189.695,62.7837,True,
18,498.184,943193,22,77.1724,190.555,55.9989,True,
18,498.184,943193,23,75.7243,190.59,51.0084,True,
18,498.184,943193,24,77.3199,191.306,52.7924,True,
18,498.184,943193,25,73.1213,191.077,35.7301,True,
18,498.184,943193,26,73.5643,191.187,29.08,True,
18,498.184,943193,27,73.4243,190.336,40.3256,True,
18,498.184,943193,28,74.6072,188.43,34.3982,True,
18,498.184,943193,29,76.6865,188.435,45.1232,True,
18,498.184,943193,30,73.825,189.671,45.5118,True,
18,498.184,943193,31,75.4392,189.837,43.8147,True,
18,498.184,943193,32,74.2319,191.698,21.6253,True,
18,498.184,943193,33,73.7883,190.35,27.5533,True,
18,498.184,943193,34,73.5388,189.777,40.0824,True,
18,498.184,943193,35,75.1323,189.171,54.3616,True,
18,498.184,943193,36,74.8647,187.548,53.1372,True,
18,498.184,943193,37,75.69,187.637,50.1205,True,
18,498.184,943193,38,73.4163,189.79,44.773,True,
18,498.184,943193,39,71.1627,193.611,13.5655,True,
18,498.184,943193,40,71.4849,192.003,26.47,True,
18,498.184,943193,41,70.5836,193.064,16.1495,True,
18,498.184,943193,42,71.7027,192.822,17.3848,True,
19,283.616,1.65676e+006,0,109.374,204.738,61.1036,False,
19,283.616,1.65676e+006,1,108.158,209.238,67.4673,False,
19,283.616,1.65676e+006,2,108.268,208.102,69.9858,False,
19,283.616,1.65676e+006,3,109.237,205.745,74.8202,False,
19,283.616,1.65676e+006,4,108.612,206.718,76.8076,False,
21,113.818,4.12839e+006,0,100.316,229.386,68.3751,False,
21,113.818,4.12839e+006,1,103.819,232.496,46.2373,False,
22,524.18,896417,0,76.3427,226.043,69.6134,False,
22,524.18,896417,1,76.8152,223.773,80.1899,False,
22,524.18,896417,2,77.5111,226.186,63.929,False,
22,524.18,896417,3,76.8205,223.776,63.4347,False,
22,524.18,896417,4,76.946,224.36,56.0037,False,
23,289.74,1.62174e+006,0,547.603,222.072,22.3869,False,
23,289.74,1.62174e+006,1,550.626,222.815,10.6219,False,
28,847.775,554255,0,590.458,270.443,23.1764,False,
28,847.775,554255,1,592.221,271.407,29.9854,False,
28,847.775,554255,2,592.089,273.197,40.1359,False,
28,847.775,554255,3,590.714,273.528,39.8463,False,
28,847.775,554255,4,592.049,272.214,28.9802,False,
30,273.276,1.71945e+006,0,79.7311,345.614,18.9899,True,
30,273.276,1.71945e+006,1,80.0345,346.484,7.50629,True,
30,273.276,1.71945e+006,2,79.4127,349.821,24.5968,True,
30,273.276,1.71945e+006,3,78.7322,350.112,34.4684,True,
30,273.276,1.71945e+006,4,82.7406,352.038,33.3053,True,
30,273.276,1.71945e+006,5,80.628,346.814,12.8881,True,
30,273.276,1.71945e+006,6,81.363,350.904,40.7725,True,
30,273.276,1.71945e+006,7,79.7725,352.269,36.8602,True,
30,273.276,1.71945e+006,8,80.1071,353.311,30.7183,True,
30,273.276,1.71945e+006,9,79.811,350.418,46.3447,True,
30,273.276,1.71945e+006,10,80.44,352.269,42.7275,True,
30,273.276,1.71945e+006,11,79.024,351.411,31.8732,True,
30,273.276,1.71945e+006,12,77.7069,351.693,28.2673,True,
33,235.535,1.99496e+006,0,608.226,374.682,27.5447,False,
33,235.535,1.99496e+006,1,605.873,372.29,42.0663,False,
36,312.847,1.50196e+006,0,579.066,433.629,10.0822,False,
36,312.847,1.50196e+006,1,579.839,436.178,28.5706,False,
37,26189.1,17942,0,131.098,454.697,52.7485,False,
37,26189.1,17942,1,130.672,454.099,53.5554,False,
38,46.7824,1.0044e+007,0,593.098,463.412,18.4661,False,
38,46.7824,1.0044e+007,1,586.269,466.006,29.6633,False,
40,136.368,3.44571e+006,0,243.787,54.2663,37.6339,True,
40,136.368,3.44571e+006,1,242.535,57.3593,48.518,True,
40,136.368,3.44571e+006,2,245.955,52.451,49.8438,True,
40,136.368,3.44571e+006,3,247.256,52.2515,46.0734,True,
40,136.368,3.44571e+006,4,247.763,50.5196,56.0748,True,
40,136.368,3.44571e+006,5,246.389,53.525,39.9581,True,
40,136.368,3.44571e+006,6,247.229,50.0629,46.6897,True,
40,136.368,3.44571e+006,7,243.94,54.8173,46.083,True,
40,136.368,3.44571e+006,8,246.663,55.2238,38.7708,True,
40,136.368,3.44571e+006,9,245.714,55.6108,42.905,True,
40,136.368,3.44571e+006,10,248.164,51.2548,19.4613,True,
40,136.368,3.44571e+006,11,245.438,54.6093,30.6528,True,
40,136.368,3.44571e+006,12,247.256,53.3372,37.1492,True,
40,136.368,3.44571e+006,13,246.68,59.3403,28.6908,True,
40,136.368,3.44571e+006,14,248.076,55.5639,44.8521,True,
40,136.368,3.44571e+006,15,247.465,60.2721,25.9685,True,
41,98.5758,4.76673e+006,0,377.527,206.641,59.4924,False,
41,98.5758,4.76673e+006,1,374.715,207.541,34.6025,False,
41,98.5758,4.76673e+006,2,381.475,207.488,13.6556,False,
42,207.795,2.26128e+006,0,480.279,226.166,40.1308,True,
42,207.795,2.26128e+006,1,475.096,224.139,36.3408,True,
42,207.795,2.26128e+006,2,467.873,219.337,42.323,True,
42,207.795,2.26128e+006,3,469.357,224.356,52.9226,True,
42,207.795,2.26128e+006,4,468.285,221.632,55.7238,True,
42,207.795,2.26128e+006,5,466.041,221.806,48.6274,True,
42,207.795,2.26128e+006,6,467.111,215.002,75.1573,True,
42,207.795,2.26128e+006,7,464.765,212.891,30.0615,True,
42,207.795,2.26128e+006,8,466.006,219.106,37.2143,True,
42,207.795,2.26128e+006,9,470.695,221.543,61.0891,True,
42,207.795,2.26128e+006,10,469.646,218.533,57.3293,True,
42,207.795,2.26128e+006,11,461.656,218.939,46.3263,True,
