[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,4706
Overall Drift (nm/s),65.21
X-Drift (nm/s),-65.17
Y-Drift (nm/s),-2.22
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),231.00
Mean (E4 nm^2/s),545.69
Standard Deviation (E4 nm^2/s),310.71

User Line 1,0
User Line 2,0
Average # centres/frame,92.68
Average # particles/frame,67.91
Equivalent particle concentration (E8 particles/ml),11.03
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,32
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.14
Camera Gain,404
Frame rate (fps),30.00
Temperature (°C),24.60
Viscosity (cP),0.897

[Warnings]
Low Completed Tracks,No
High Noise,1 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0001,,
56,0.0002,,
57,0.0003,,
58,0.0007,,
59,0.0012,,
60,0.0021,,
61,0.0035,,
62,0.0057,,
63,0.0088,,
64,0.0131,,
65,0.0188,,
66,0.0262,,
67,0.0353,,
68,0.0461,,
69,0.0584,,
70,0.0719,,
71,0.0863,,
72,0.1009,,
73,0.1155,,
74,0.1294,,
75,0.1423,,
76,0.1538,,
77,0.1639,,
78,0.1726,,
79,0.1803,,
80,0.1874,,
81,0.1947,,
82,0.2029,,
83,0.2123,,
84,0.2236,,
85,0.2368,,
86,0.2515,,
87,0.2670,,
88,0.2827,,
89,0.2976,,
90,0.3110,,
91,0.3225,,
92,0.3321,,
93,0.3403,,
94,0.3480,,
95,0.3567,,
96,0.3680,,
97,0.3837,,
98,0.4056,,
99,0.4352,,
100,0.4738,,
101,0.5224,,
102,0.5812,,
103,0.6503,,
104,0.7291,,
105,0.8163,,
106,0.9106,,
107,1.0098,,
108,1.1117,,
109,1.2134,,
110,1.3123,,
111,1.4054,,
112,1.4899,,
113,1.5631,,
114,1.6228,,
115,1.6676,,
116,1.6958,,
117,1.7074,,
118,1.7024,,
119,1.6819,,
120,1.6474,,
121,1.6008,,
122,1.5444,,
123,1.4810,,
124,1.4130,,
125,1.3430,,
126,1.2735,,
127,1.2064,,
128,1.1434,,
129,1.0857,,
130,1.0344,,
131,0.9900,,
132,0.9527,,
133,0.9224,,
134,0.8990,,
135,0.8820,,
136,0.8711,,
137,0.8658,,
138,0.8656,,
139,0.8701,,
140,0.8788,,
141,0.8914,,
142,0.9075,,
143,0.9267,,
144,0.9489,,
145,0.9734,,
146,0.9999,,
147,1.0280,,
148,1.0571,,
149,1.0867,,
150,1.1164,,
151,1.1454,,
152,1.1733,,
153,1.1994,,
154,1.2233,,
155,1.2446,,
156,1.2629,,
157,1.2780,,
158,1.2896,,
159,1.2979,,
160,1.3027,,
161,1.3044,,
162,1.3031,,
163,1.2993,,
164,1.2932,,
165,1.2854,,
166,1.2764,,
167,1.2664,,
168,1.2561,,
169,1.2457,,
170,1.2358,,
171,1.2264,,
172,1.2180,,
173,1.2106,,
174,1.2043,,
175,1.1994,,
176,1.1956,,
177,1.1931,,
178,1.1916,,
179,1.1910,,
180,1.1913,,
181,1.1921,,
182,1.1934,,
183,1.1951,,
184,1.1969,,
185,1.1988,,
186,1.2007,,
187,1.2025,,
188,1.2042,,
189,1.2058,,
190,1.2074,,
191,1.2089,,
192,1.2105,,
193,1.2123,,
194,1.2143,,
195,1.2169,,
196,1.2200,,
197,1.2238,,
198,1.2284,,
199,1.2341,,
200,1.2410,,
201,1.2490,,
202,1.2585,,
203,1.2693,,
204,1.2815,,
205,1.2953,,
206,1.3105,,
207,1.3271,,
208,1.3451,,
209,1.3644,,
210,1.3849,,
211,1.4064,,
212,1.4288,,
213,1.4519,,
214,1.4754,,
215,1.4992,,
216,1.5230,,
217,1.5467,,
218,1.5699,,
219,1.5924,,
220,1.6141,,
221,1.6346,,
222,1.6537,,
223,1.6714,,
224,1.6873,,
225,1.7014,,
226,1.7135,,
227,1.7236,,
228,1.7315,,
229,1.7372,,
230,1.7408,,
231,1.7422,,
232,1.7415,,
233,1.7388,,
234,1.7342,,
235,1.7278,,
236,1.7198,,
237,1.7103,,
238,1.6996,,
239,1.6877,,
240,1.6749,,
241,1.6614,,
242,1.6474,,
243,1.6330,,
244,1.6184,,
245,1.6038,,
246,1.5894,,
247,1.5753,,
248,1.5616,,
249,1.5484,,
250,1.5358,,
251,1.5239,,
252,1.5128,,
253,1.5025,,
254,1.4930,,
255,1.4843,,
256,1.4764,,
257,1.4694,,
258,1.4631,,
259,1.4576,,
260,1.4528,,
261,1.4486,,
262,1.4451,,
263,1.4421,,
264,1.4396,,
265,1.4375,,
266,1.4357,,
267,1.4343,,
268,1.4331,,
269,1.4320,,
270,1.4311,,
271,1.4303,,
272,1.4295,,
273,1.4288,,
274,1.4279,,
275,1.4271,,
276,1.4261,,
277,1.4250,,
278,1.4238,,
279,1.4224,,
280,1.4209,,
281,1.4192,,
282,1.4174,,
283,1.4155,,
284,1.4134,,
285,1.4113,,
286,1.4090,,
287,1.4066,,
288,1.4041,,
289,1.4017,,
290,1.3992,,
291,1.3967,,
292,1.3942,,
293,1.3917,,
294,1.3893,,
295,1.3870,,
296,1.3847,,
297,1.3825,,
298,1.3804,,
299,1.3785,,
300,1.3767,,
301,1.3750,,
302,1.3734,,
303,1.3720,,
304,1.3707,,
305,1.3696,,
306,1.3686,,
307,1.3677,,
308,1.3670,,
309,1.3665,,
310,1.3660,,
311,1.3657,,
312,1.3654,,
313,1.3653,,
314,1.3652,,
315,1.3652,,
316,1.3653,,
317,1.3654,,
318,1.3656,,
319,1.3657,,
320,1.3659,,
321,1.3660,,
322,1.3662,,
323,1.3663,,
324,1.3664,,
325,1.3664,,
326,1.3664,,
327,1.3663,,
328,1.3661,,
329,1.3658,,
330,1.3655,,
331,1.3651,,
332,1.3645,,
333,1.3639,,
334,1.3631,,
335,1.3622,,
336,1.3612,,
337,1.3601,,
338,1.3588,,
339,1.3575,,
340,1.3560,,
341,1.3544,,
342,1.3527,,
343,1.3509,,
344,1.3490,,
345,1.3470,,
346,1.3449,,
347,1.3427,,
348,1.3404,,
349,1.3380,,
350,1.3356,,
351,1.3331,,
352,1.3306,,
353,1.3281,,
354,1.3255,,
355,1.3229,,
356,1.3203,,
357,1.3177,,
358,1.3151,,
359,1.3126,,
360,1.3101,,
361,1.3076,,
362,1.3052,,
363,1.3029,,
364,1.3006,,
365,1.2984,,
366,1.2964,,
367,1.2944,,
368,1.2925,,
369,1.2908,,
370,1.2892,,
371,1.2877,,
372,1.2864,,
373,1.2852,,
374,1.2841,,
375,1.2833,,
376,1.2825,,
377,1.2820,,
378,1.2816,,
379,1.2813,,
380,1.2812,,
381,1.2813,,
382,1.2815,,
383,1.2819,,
384,1.2824,,
385,1.2832,,
386,1.2840,,
387,1.2851,,
388,1.2862,,
389,1.2876,,
390,1.2891,,
391,1.2907,,
392,1.2924,,
393,1.2943,,
394,1.2963,,
395,1.2985,,
396,1.3008,,
397,1.3032,,
398,1.3057,,
399,1.3084,,
400,1.3111,,
401,1.3140,,
402,1.3170,,
403,1.3200,,
404,1.3232,,
405,1.3265,,
406,1.3298,,
407,1.3333,,
408,1.3368,,
409,1.3405,,
410,1.3442,,
411,1.3480,,
412,1.3518,,
413,1.3558,,
414,1.3598,,
415,1.3639,,
416,1.3680,,
417,1.3722,,
418,1.3765,,
419,1.3808,,
420,1.3852,,
421,1.3896,,
422,1.3941,,
423,1.3986,,
424,1.4031,,
425,1.4076,,
426,1.4122,,
427,1.4168,,
428,1.4215,,
429,1.4261,,
