[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:19"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,2218
Overall Drift (nm/s),423.20
X-Drift (nm/s),-406.66
Y-Drift (nm/s),117.15
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),358.00
Mean (nm),619.78
Standard Deviation (nm),348.13
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,354
User Line 2,0
Average # centres/frame,57.79
Average # particles/frame,37.04
Equivalent particle concentration (E8 particles/ml),5.82
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,24
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.14
Camera Gain,499
Frame rate (fps),30.00
Temperature (°C),25.20
Viscosity (cP),0.885

[Warnings]
Low Completed Tracks,No
High Noise,3 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Error - No data
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0001,,
24,0.0003,,
25,0.0005,,
26,0.0009,,
27,0.0014,,
28,0.0021,,
29,0.0031,,
30,0.0045,,
31,0.0064,,
32,0.0090,,
33,0.0122,,
34,0.0161,,
35,0.0204,,
36,0.0252,,
37,0.0305,,
38,0.0365,,
39,0.0433,,
40,0.0508,,
41,0.0587,,
42,0.0668,,
43,0.0749,,
44,0.0832,,
45,0.0920,,
46,0.1018,,
47,0.1131,,
48,0.1261,,
49,0.1411,,
50,0.1581,,
51,0.1767,,
52,0.1968,,
53,0.2177,,
54,0.2391,,
55,0.2607,,
56,0.2821,,
57,0.3036,,
58,0.3256,,
59,0.3487,,
60,0.3735,,
61,0.4006,,
62,0.4304,,
63,0.4631,,
64,0.4985,,
65,0.5364,,
66,0.5762,,
67,0.6172,,
68,0.6588,,
69,0.7003,,
70,0.7411,,
71,0.7811,,
72,0.8200,,
73,0.8579,,
74,0.8952,,
75,0.9323,,
76,0.9694,,
77,1.0070,,
78,1.0449,,
79,1.0830,,
80,1.1209,,
81,1.1582,,
82,1.1945,,
83,1.2292,,
84,1.2622,,
85,1.2938,,
86,1.3239,,
87,1.3533,,
88,1.3826,,
89,1.4124,,
90,1.4436,,
91,1.4771,,
92,1.5134,,
93,1.5531,,
94,1.5964,,
95,1.6436,,
96,1.6941,,
97,1.7475,,
98,1.8028,,
99,1.8588,,
100,1.9141,,
101,1.9670,,
102,2.0163,,
103,2.0604,,
104,2.0982,,
105,2.1290,,
106,2.1526,,
107,2.1690,,
108,2.1791,,
109,2.1838,,
110,2.1847,,
111,2.1835,,
112,2.1821,,
113,2.1825,,
114,2.1863,,
115,2.1952,,
116,2.2103,,
117,2.2325,,
118,2.2623,,
119,2.2998,,
120,2.3446,,
121,2.3962,,
122,2.4537,,
123,2.5163,,
124,2.5827,,
125,2.6518,,
126,2.7225,,
127,2.7937,,
128,2.8644,,
129,2.9337,,
130,3.0009,,
131,3.0653,,
132,3.1267,,
133,3.1847,,
134,3.2390,,
135,3.2897,,
136,3.3367,,
137,3.3802,,
138,3.4206,,
139,3.4581,,
140,3.4930,,
141,3.5257,,
142,3.5568,,
143,3.5865,,
144,3.6153,,
145,3.6437,,
146,3.6722,,
147,3.7012,,
148,3.7306,,
149,3.7610,,
150,3.7925,,
151,3.8253,,
152,3.8594,,
153,3.8947,,
154,3.9314,,
155,3.9693,,
156,4.0081,,
157,4.0479,,
158,4.0883,,
159,4.1292,,
160,4.1702,,
161,4.2115,,
162,4.2532,,
163,4.2942,,
164,4.3349,,
165,4.3754,,
166,4.4153,,
167,4.4545,,
168,4.4931,,
169,4.5314,,
170,4.5689,,
171,4.6054,,
172,4.6409,,
173,4.6754,,
174,4.7086,,
175,4.7405,,
176,4.7711,,
177,4.8003,,
178,4.8277,,
179,4.8537,,
180,4.8780,,
181,4.9008,,
182,4.9222,,
183,4.9426,,
184,4.9624,,
185,4.9815,,
186,5.0006,,
187,5.0202,,
188,5.0410,,
189,5.0636,,
190,5.0886,,
191,5.1168,,
192,5.1491,,
193,5.1859,,
194,5.2280,,
195,5.2765,,
196,5.3314,,
197,5.3936,,
198,5.4636,,
199,5.5417,,
200,5.6282,,
201,5.7232,,
202,5.8268,,
203,5.9390,,
204,6.0596,,
205,6.1881,,
206,6.3243,,
207,6.4673,,
208,6.6164,,
209,6.7709,,
210,6.9297,,
211,7.0917,,
212,7.2560,,
213,7.4210,,
214,7.5860,,
215,7.7489,,
216,7.9088,,
217,8.0643,,
218,8.2144,,
219,8.3576,,
220,8.4929,,
221,8.6191,,
222,8.7356,,
223,8.8414,,
224,8.9358,,
225,9.0183,,
226,9.0886,,
227,9.1466,,
228,9.1922,,
229,9.2253,,
230,9.2470,,
231,9.2569,,
232,9.2560,,
233,9.2448,,
234,9.2243,,
235,9.1953,,
236,9.1588,,
237,9.1158,,
238,9.0673,,
239,9.0145,,
240,8.9582,,
241,8.8997,,
242,8.8399,,
243,8.7797,,
244,8.7201,,
245,8.6617,,
246,8.6055,,
247,8.5521,,
248,8.5017,,
249,8.4552,,
250,8.4127,,
251,8.3747,,
252,8.3413,,
253,8.3130,,
254,8.2892,,
255,8.2707,,
256,8.2570,,
257,8.2481,,
258,8.2438,,
259,8.2441,,
260,8.2508,,
261,8.2600,,
262,8.2730,,
263,8.2896,,
264,8.3097,,
265,8.3327,,
266,8.3585,,
267,8.3867,,
268,8.4169,,
269,8.4488,,
270,8.4820,,
271,8.5163,,
272,8.5511,,
273,8.5862,,
274,8.6211,,
275,8.6554,,
276,8.6889,,
277,8.7209,,
278,8.7511,,
279,8.7789,,
280,8.8049,,
281,8.8279,,
282,8.8478,,
283,8.8649,,
284,8.8776,,
285,8.8866,,
286,8.8914,,
287,8.8920,,
288,8.8881,,
289,8.8798,,
290,8.8669,,
291,8.8496,,
292,8.8279,,
293,8.8021,,
294,8.7721,,
295,8.7381,,
296,8.7007,,
297,8.6601,,
298,8.6165,,
299,8.5703,,
300,8.5221,,
301,8.4722,,
302,8.4211,,
303,8.3694,,
304,8.3178,,
305,8.2665,,
306,8.2161,,
307,8.1673,,
308,8.1205,,
309,8.0764,,
310,8.0353,,
311,7.9980,,
312,7.9647,,
313,7.9360,,
314,7.9121,,
315,7.8935,,
316,7.8803,,
317,7.8731,,
318,7.8722,,
319,7.8773,,
320,7.8891,,
321,7.9073,,
322,7.9321,,
323,7.9634,,
324,8.0011,,
325,8.0451,,
326,8.0951,,
327,8.1510,,
328,8.2126,,
329,8.2795,,
330,8.3510,,
331,8.4270,,
332,8.5071,,
333,8.5906,,
334,8.6773,,
335,8.7662,,
336,8.8569,,
337,8.9491,,
338,9.0419,,
339,9.1348,,
340,9.2272,,
341,9.3186,,
342,9.4082,,
343,9.4955,,
344,9.5800,,
345,9.6612,,
346,9.7385,,
347,9.8114,,
348,9.8795,,
349,9.9424,,
350,9.9997,,
351,10.0513,,
352,10.0965,,
353,10.1353,,
354,10.1676,,
355,10.1928,,
356,10.2114,,
357,10.2231,,
358,10.2278,,
359,10.2257,,
360,10.2167,,
361,10.2010,,
362,10.1787,,
363,10.1499,,
364,10.1150,,
365,10.0744,,
366,10.0281,,
367,9.9763,,
368,9.9195,,
369,9.8578,,
370,9.7917,,
371,9.7213,,
372,9.6473,,
373,9.5699,,
374,9.4893,,
375,9.4059,,
376,9.3200,,
377,9.2318,,
378,9.1417,,
379,9.0499,,
380,8.9568,,
381,8.8624,,
382,8.7672,,
383,8.6713,,
384,8.5747,,
385,8.4778,,
386,8.3807,,
387,8.2834,,
388,8.1863,,
389,8.0893,,
390,7.9924,,
391,7.8958,,
392,7.7996,,
393,7.7038,,
394,7.6085,,
395,7.5136,,
396,7.4193,,
397,7.3252,,
398,7.2320,,
399,7.1393,,
400,7.0473,,
401,6.9558,,
402,6.8650,,
403,6.7747,,
404,6.6852,,
405,6.5964,,
406,6.5082,,
407,6.4209,,
408,6.3342,,
409,6.2484,,
410,6.1634,,
411,6.0793,,
412,5.9961,,
413,5.9140,,
414,5.8329,,
415,5.7528,,
416,5.6739,,
417,5.5961,,
418,5.5196,,
419,5.4444,,
420,5.3705,,
421,5.2980,,
422,5.2270,,
423,5.1576,,
424,5.0896,,
425,5.0232,,
426,4.9585,,
427,4.8954,,
428,4.8340,,
429,4.7743,,
430,4.7163,,
431,4.6602,,
432,4.6058,,
433,4.5531,,
