[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,6264
Overall Drift (nm/s),299.97
X-Drift (nm/s),-273.37
Y-Drift (nm/s),123.48
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),249.00
Mean (E4 nm^2/s),377.60
Standard Deviation (E4 nm^2/s),193.78

User Line 1,354
User Line 2,0
Average # centres/frame,98.47
Average # particles/frame,81.00
Equivalent particle concentration (E8 particles/ml),12.17
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.00
Viscosity (cP),0.909

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0000,,
56,0.0000,,
57,0.0000,,
58,0.0000,,
59,0.0000,,
60,0.0000,,
61,0.0000,,
62,0.0000,,
63,0.0000,,
64,0.0000,,
65,0.0000,,
66,0.0000,,
67,0.0000,,
68,0.0000,,
69,0.0000,,
70,0.0000,,
71,0.0001,,
72,0.0001,,
73,0.0002,,
74,0.0003,,
75,0.0005,,
76,0.0007,,
77,0.0011,,
78,0.0017,,
79,0.0025,,
80,0.0035,,
81,0.0049,,
82,0.0068,,
83,0.0090,,
84,0.0117,,
85,0.0149,,
86,0.0185,,
87,0.0225,,
88,0.0268,,
89,0.0312,,
90,0.0357,,
91,0.0400,,
92,0.0441,,
93,0.0479,,
94,0.0513,,
95,0.0544,,
96,0.0573,,
97,0.0600,,
98,0.0628,,
99,0.0658,,
100,0.0692,,
101,0.0732,,
102,0.0778,,
103,0.0833,,
104,0.0895,,
105,0.0966,,
106,0.1044,,
107,0.1129,,
108,0.1221,,
109,0.1317,,
110,0.1418,,
111,0.1523,,
112,0.1632,,
113,0.1745,,
114,0.1863,,
115,0.1987,,
116,0.2118,,
117,0.2259,,
118,0.2411,,
119,0.2576,,
120,0.2757,,
121,0.2955,,
122,0.3171,,
123,0.3406,,
124,0.3661,,
125,0.3937,,
126,0.4233,,
127,0.4547,,
128,0.4880,,
129,0.5229,,
130,0.5592,,
131,0.5969,,
132,0.6356,,
133,0.6751,,
134,0.7154,,
135,0.7561,,
136,0.7971,,
137,0.8383,,
138,0.8796,,
139,0.9207,,
140,0.9619,,
141,1.0029,,
142,1.0439,,
143,1.0849,,
144,1.1260,,
145,1.1673,,
146,1.2090,,
147,1.2513,,
148,1.2942,,
149,1.3381,,
150,1.3829,,
151,1.4289,,
152,1.4762,,
153,1.5248,,
154,1.5749,,
155,1.6264,,
156,1.6792,,
157,1.7334,,
158,1.7887,,
159,1.8451,,
160,1.9021,,
161,1.9598,,
162,2.0177,,
163,2.0756,,
164,2.1331,,
165,2.1900,,
166,2.2459,,
167,2.3006,,
168,2.3537,,
169,2.4052,,
170,2.4548,,
171,2.5024,,
172,2.5479,,
173,2.5913,,
174,2.6325,,
175,2.6717,,
176,2.7091,,
177,2.7446,,
178,2.7785,,
179,2.8110,,
180,2.8423,,
181,2.8725,,
182,2.9019,,
183,2.9306,,
184,2.9588,,
185,2.9866,,
186,3.0142,,
187,3.0415,,
188,3.0686,,
189,3.0955,,
190,3.1223,,
191,3.1489,,
192,3.1753,,
193,3.2014,,
194,3.2271,,
195,3.2526,,
196,3.2775,,
197,3.3020,,
198,3.3260,,
199,3.3495,,
200,3.3724,,
201,3.3948,,
202,3.4165,,
203,3.4378,,
204,3.4586,,
205,3.4789,,
206,3.4988,,
207,3.5182,,
208,3.5373,,
209,3.5562,,
210,3.5747,,
211,3.5932,,
212,3.6114,,
213,3.6295,,
214,3.6476,,
215,3.6656,,
216,3.6834,,
217,3.7014,,
218,3.7193,,
219,3.7372,,
220,3.7550,,
221,3.7728,,
222,3.7905,,
223,3.8081,,
224,3.8256,,
225,3.8429,,
226,3.8600,,
227,3.8769,,
228,3.8935,,
229,3.9097,,
230,3.9254,,
231,3.9408,,
232,3.9557,,
233,3.9700,,
234,3.9838,,
235,3.9969,,
236,4.0093,,
237,4.0210,,
238,4.0319,,
239,4.0420,,
240,4.0513,,
241,4.0596,,
242,4.0671,,
243,4.0737,,
244,4.0792,,
245,4.0839,,
246,4.0875,,
247,4.0902,,
248,4.0919,,
249,4.0926,,
250,4.0923,,
251,4.0910,,
252,4.0888,,
253,4.0857,,
254,4.0817,,
255,4.0768,,
256,4.0710,,
257,4.0644,,
258,4.0570,,
259,4.0488,,
260,4.0400,,
261,4.0304,,
262,4.0202,,
263,4.0094,,
264,3.9981,,
265,3.9861,,
266,3.9737,,
267,3.9608,,
268,3.9474,,
269,3.9336,,
270,3.9194,,
271,3.9049,,
272,3.8900,,
273,3.8747,,
274,3.8591,,
275,3.8432,,
276,3.8270,,
277,3.8105,,
278,3.7937,,
279,3.7766,,
280,3.7593,,
281,3.7417,,
282,3.7238,,
283,3.7056,,
284,3.6872,,
285,3.6686,,
286,3.6497,,
287,3.6306,,
288,3.6112,,
289,3.5917,,
290,3.5719,,
291,3.5520,,
292,3.5318,,
293,3.5115,,
294,3.4912,,
295,3.4707,,
296,3.4501,,
297,3.4296,,
298,3.4089,,
299,3.3883,,
300,3.3678,,
301,3.3473,,
302,3.3269,,
303,3.3066,,
304,3.2866,,
305,3.2667,,
306,3.2470,,
307,3.2276,,
308,3.2085,,
309,3.1897,,
310,3.1712,,
311,3.1530,,
312,3.1352,,
313,3.1179,,
314,3.1008,,
315,3.0842,,
316,3.0680,,
317,3.0522,,
318,3.0369,,
319,3.0219,,
320,3.0074,,
321,2.9932,,
322,2.9795,,
323,2.9661,,
324,2.9532,,
325,2.9405,,
326,2.9282,,
327,2.9163,,
328,2.9047,,
329,2.8934,,
330,2.8823,,
331,2.8714,,
332,2.8609,,
333,2.8505,,
334,2.8403,,
335,2.8303,,
336,2.8205,,
337,2.8108,,
338,2.8012,,
339,2.7917,,
340,2.7823,,
341,2.7729,,
342,2.7636,,
343,2.7544,,
344,2.7451,,
345,2.7359,,
346,2.7267,,
347,2.7175,,
348,2.7082,,
349,2.6990,,
350,2.6896,,
351,2.6803,,
352,2.6709,,
353,2.6615,,
354,2.6520,,
355,2.6424,,
356,2.6328,,
357,2.6231,,
358,2.6134,,
359,2.6036,,
360,2.5937,,
361,2.5837,,
362,2.5737,,
363,2.5636,,
364,2.5534,,
365,2.5431,,
366,2.5328,,
367,2.5224,,
368,2.5119,,
369,2.5013,,
370,2.4907,,
371,2.4800,,
372,2.4692,,
373,2.4583,,
374,2.4474,,
375,2.4364,,
376,2.4254,,
377,2.4142,,
378,2.4030,,
379,2.3918,,
380,2.3805,,
381,2.3691,,
382,2.3577,,
383,2.3462,,
384,2.3347,,
385,2.3232,,
386,2.3115,,
387,2.2999,,
388,2.2881,,
389,2.2764,,
390,2.2646,,
391,2.2528,,
392,2.2409,,
393,2.2291,,
394,2.2172,,
395,2.2053,,
396,2.1934,,
397,2.1814,,
398,2.1695,,
399,2.1575,,
400,2.1455,,
401,2.1336,,
402,2.1216,,
403,2.1096,,
404,2.0977,,
405,2.0857,,
406,2.0738,,
407,2.0619,,
408,2.0500,,
409,2.0381,,
410,2.0263,,
411,2.0145,,
412,2.0027,,
413,1.9910,,
414,1.9793,,
415,1.9676,,
416,1.9560,,
417,1.9444,,
418,1.9329,,
419,1.9214,,
420,1.9099,,
421,1.8985,,
422,1.8871,,
423,1.8759,,
424,1.8646,,
425,1.8534,,
426,1.8423,,
427,1.8312,,
428,1.8202,,
429,1.8092,,
430,1.7983,,
