[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,10891
Overall Drift (nm/s),1032.15
X-Drift (nm/s),-453.33
Y-Drift (nm/s),927.27
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),293.00
Mean (E4 nm^2/s),680.92
Standard Deviation (E4 nm^2/s),371.37

User Line 1,205
User Line 2,588
Average # centres/frame,191.16
Average # particles/frame,149.63
Equivalent particle concentration (E8 particles/ml),23.38
Selected average # particles/frame,66.70
Selected equivalent particle concentration (E8 particles/ml),10.42

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,300
Frame rate (fps),30.00
Temperature (°C),23.80
Viscosity (cP),0.914

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0000,,
56,0.0000,,
57,0.0000,,
58,0.0000,,
59,0.0000,,
60,0.0000,,
61,0.0000,,
62,0.0000,,
63,0.0000,,
64,0.0000,,
65,0.0000,,
66,0.0000,,
67,0.0000,,
68,0.0000,,
69,0.0000,,
70,0.0000,,
71,0.0000,,
72,0.0000,,
73,0.0000,,
74,0.0000,,
75,0.0000,,
76,0.0000,,
77,0.0001,,
78,0.0001,,
79,0.0002,,
80,0.0004,,
81,0.0005,,
82,0.0008,,
83,0.0012,,
84,0.0018,,
85,0.0026,,
86,0.0036,,
87,0.0049,,
88,0.0066,,
89,0.0087,,
90,0.0111,,
91,0.0140,,
92,0.0172,,
93,0.0208,,
94,0.0246,,
95,0.0286,,
96,0.0326,,
97,0.0365,,
98,0.0401,,
99,0.0435,,
100,0.0464,,
101,0.0489,,
102,0.0511,,
103,0.0529,,
104,0.0546,,
105,0.0564,,
106,0.0584,,
107,0.0610,,
108,0.0642,,
109,0.0684,,
110,0.0738,,
111,0.0804,,
112,0.0882,,
113,0.0974,,
114,0.1078,,
115,0.1193,,
116,0.1318,,
117,0.1450,,
118,0.1588,,
119,0.1729,,
120,0.1871,,
121,0.2011,,
122,0.2149,,
123,0.2282,,
124,0.2408,,
125,0.2528,,
126,0.2641,,
127,0.2745,,
128,0.2843,,
129,0.2934,,
130,0.3018,,
131,0.3098,,
132,0.3173,,
133,0.3246,,
134,0.3319,,
135,0.3392,,
136,0.3467,,
137,0.3546,,
138,0.3631,,
139,0.3722,,
140,0.3821,,
141,0.3929,,
142,0.4047,,
143,0.4176,,
144,0.4315,,
145,0.4465,,
146,0.4625,,
147,0.4796,,
148,0.4976,,
149,0.5166,,
150,0.5364,,
151,0.5569,,
152,0.5782,,
153,0.6000,,
154,0.6225,,
155,0.6454,,
156,0.6687,,
157,0.6925,,
158,0.7167,,
159,0.7412,,
160,0.7660,,
161,0.7911,,
162,0.8166,,
163,0.8424,,
164,0.8686,,
165,0.8951,,
166,0.9220,,
167,0.9494,,
168,0.9771,,
169,1.0053,,
170,1.0340,,
171,1.0631,,
172,1.0926,,
173,1.1225,,
174,1.1528,,
175,1.1835,,
176,1.2145,,
177,1.2458,,
178,1.2773,,
179,1.3090,,
180,1.3408,,
181,1.3728,,
182,1.4047,,
183,1.4367,,
184,1.4686,,
185,1.5004,,
186,1.5322,,
187,1.5638,,
188,1.5953,,
189,1.6266,,
190,1.6578,,
191,1.6888,,
192,1.7195,,
193,1.7500,,
194,1.7802,,
195,1.8101,,
196,1.8396,,
197,1.8687,,
198,1.8973,,
199,1.9254,,
200,1.9528,,
201,1.9796,,
202,2.0056,,
203,2.0308,,
204,2.0552,,
205,2.0786,,
206,2.1010,,
207,2.1224,,
208,2.1427,,
209,2.1620,,
210,2.1802,,
211,2.1973,,
212,2.2133,,
213,2.2283,,
214,2.2422,,
215,2.2552,,
216,2.2671,,
217,2.2783,,
218,2.2885,,
219,2.2980,,
220,2.3068,,
221,2.3150,,
222,2.3226,,
223,2.3297,,
224,2.3363,,
225,2.3427,,
226,2.3487,,
227,2.3545,,
228,2.3602,,
229,2.3659,,
230,2.3714,,
231,2.3771,,
232,2.3828,,
233,2.3887,,
234,2.3948,,
235,2.4012,,
236,2.4079,,
237,2.4150,,
238,2.4225,,
239,2.4305,,
240,2.4389,,
241,2.4479,,
242,2.4575,,
243,2.4677,,
244,2.4786,,
245,2.4901,,
246,2.5024,,
247,2.5153,,
248,2.5290,,
249,2.5434,,
250,2.5585,,
251,2.5744,,
252,2.5910,,
253,2.6082,,
254,2.6262,,
255,2.6447,,
256,2.6640,,
257,2.6837,,
258,2.7039,,
259,2.7246,,
260,2.7457,,
261,2.7672,,
262,2.7888,,
263,2.8107,,
264,2.8326,,
265,2.8546,,
266,2.8766,,
267,2.8984,,
268,2.9200,,
269,2.9414,,
270,2.9623,,
271,2.9828,,
272,3.0027,,
273,3.0221,,
274,3.0407,,
275,3.0587,,
276,3.0759,,
277,3.0922,,
278,3.1076,,
279,3.1221,,
280,3.1356,,
281,3.1482,,
282,3.1597,,
283,3.1702,,
284,3.1796,,
285,3.1880,,
286,3.1954,,
287,3.2017,,
288,3.2070,,
289,3.2113,,
290,3.2147,,
291,3.2171,,
292,3.2185,,
293,3.2192,,
294,3.2190,,
295,3.2180,,
296,3.2163,,
297,3.2138,,
298,3.2108,,
299,3.2072,,
300,3.2030,,
301,3.1983,,
302,3.1933,,
303,3.1878,,
304,3.1819,,
305,3.1758,,
306,3.1694,,
307,3.1628,,
308,3.1560,,
309,3.1491,,
310,3.1420,,
311,3.1349,,
312,3.1277,,
313,3.1205,,
314,3.1132,,
315,3.1058,,
316,3.0985,,
317,3.0912,,
318,3.0840,,
319,3.0767,,
320,3.0694,,
321,3.0622,,
322,3.0550,,
323,3.0479,,
324,3.0408,,
325,3.0337,,
326,3.0267,,
327,3.0197,,
328,3.0127,,
329,3.0057,,
330,2.9988,,
331,2.9919,,
332,2.9851,,
333,2.9783,,
334,2.9716,,
335,2.9649,,
336,2.9583,,
337,2.9518,,
338,2.9454,,
339,2.9390,,
340,2.9328,,
341,2.9267,,
342,2.9208,,
343,2.9149,,
344,2.9092,,
345,2.9037,,
346,2.8984,,
347,2.8933,,
348,2.8883,,
349,2.8836,,
350,2.8790,,
351,2.8748,,
352,2.8707,,
353,2.8668,,
354,2.8632,,
355,2.8598,,
356,2.8566,,
357,2.8537,,
358,2.8510,,
359,2.8484,,
360,2.8462,,
361,2.8441,,
362,2.8422,,
363,2.8405,,
364,2.8389,,
365,2.8375,,
366,2.8363,,
367,2.8352,,
368,2.8342,,
369,2.8333,,
370,2.8325,,
371,2.8318,,
372,2.8311,,
373,2.8304,,
374,2.8298,,
375,2.8293,,
376,2.8287,,
377,2.8281,,
378,2.8274,,
379,2.8268,,
380,2.8261,,
381,2.8254,,
382,2.8246,,
383,2.8237,,
384,2.8228,,
385,2.8218,,
386,2.8208,,
387,2.8196,,
388,2.8184,,
389,2.8171,,
390,2.8158,,
391,2.8143,,
392,2.8128,,
393,2.8113,,
394,2.8097,,
395,2.8080,,
396,2.8063,,
397,2.8045,,
398,2.8027,,
399,2.8009,,
400,2.7991,,
401,2.7973,,
402,2.7954,,
403,2.7936,,
404,2.7918,,
405,2.7900,,
406,2.7882,,
407,2.7864,,
408,2.7847,,
409,2.7830,,
410,2.7814,,
411,2.7798,,
412,2.7782,,
413,2.7767,,
414,2.7753,,
415,2.7739,,
416,2.7725,,
417,2.7713,,
418,2.7700,,
419,2.7688,,
420,2.7677,,
421,2.7666,,
422,2.7655,,
423,2.7645,,
424,2.7635,,
425,2.7625,,
426,2.7615,,
427,2.7606,,
428,2.7596,,
429,2.7587,,
430,2.7577,,
