[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,5585
Overall Drift (nm/s),625.91
X-Drift (nm/s),-89.62
Y-Drift (nm/s),619.46
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),285.00
Mean (E4 nm^2/s),603.23
Standard Deviation (E4 nm^2/s),329.64

User Line 1,205
User Line 2,588
Average # centres/frame,184.60
Average # particles/frame,147.86
Equivalent particle concentration (E8 particles/ml),23.01
Selected average # particles/frame,79.40
Selected equivalent particle concentration (E8 particles/ml),12.36

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0000,,
56,0.0000,,
57,0.0000,,
58,0.0000,,
59,0.0000,,
60,0.0000,,
61,0.0000,,
62,0.0000,,
63,0.0000,,
64,0.0000,,
65,0.0000,,
66,0.0000,,
67,0.0000,,
68,0.0000,,
69,0.0000,,
70,0.0000,,
71,0.0000,,
72,0.0000,,
73,0.0000,,
74,0.0000,,
75,0.0000,,
76,0.0000,,
77,0.0000,,
78,0.0000,,
79,0.0000,,
80,0.0000,,
81,0.0000,,
82,0.0000,,
83,0.0001,,
84,0.0001,,
85,0.0001,,
86,0.0002,,
87,0.0003,,
88,0.0005,,
89,0.0007,,
90,0.0010,,
91,0.0015,,
92,0.0020,,
93,0.0028,,
94,0.0037,,
95,0.0049,,
96,0.0063,,
97,0.0079,,
98,0.0099,,
99,0.0120,,
100,0.0144,,
101,0.0170,,
102,0.0196,,
103,0.0222,,
104,0.0247,,
105,0.0271,,
106,0.0292,,
107,0.0311,,
108,0.0326,,
109,0.0337,,
110,0.0346,,
111,0.0352,,
112,0.0358,,
113,0.0364,,
114,0.0373,,
115,0.0386,,
116,0.0407,,
117,0.0436,,
118,0.0476,,
119,0.0530,,
120,0.0598,,
121,0.0682,,
122,0.0782,,
123,0.0899,,
124,0.1033,,
125,0.1184,,
126,0.1351,,
127,0.1532,,
128,0.1726,,
129,0.1932,,
130,0.2148,,
131,0.2372,,
132,0.2603,,
133,0.2837,,
134,0.3073,,
135,0.3310,,
136,0.3546,,
137,0.3779,,
138,0.4009,,
139,0.4234,,
140,0.4454,,
141,0.4670,,
142,0.4881,,
143,0.5088,,
144,0.5293,,
145,0.5495,,
146,0.5698,,
147,0.5903,,
148,0.6111,,
149,0.6326,,
150,0.6548,,
151,0.6780,,
152,0.7023,,
153,0.7279,,
154,0.7550,,
155,0.7835,,
156,0.8135,,
157,0.8450,,
158,0.8778,,
159,0.9119,,
160,0.9471,,
161,0.9832,,
162,1.0199,,
163,1.0571,,
164,1.0944,,
165,1.1315,,
166,1.1683,,
167,1.2044,,
168,1.2397,,
169,1.2740,,
170,1.3071,,
171,1.3388,,
172,1.3691,,
173,1.3979,,
174,1.4253,,
175,1.4511,,
176,1.4756,,
177,1.4987,,
178,1.5206,,
179,1.5414,,
180,1.5612,,
181,1.5801,,
182,1.5985,,
183,1.6163,,
184,1.6339,,
185,1.6514,,
186,1.6689,,
187,1.6867,,
188,1.7050,,
189,1.7238,,
190,1.7435,,
191,1.7640,,
192,1.7857,,
193,1.8085,,
194,1.8327,,
195,1.8583,,
196,1.8853,,
197,1.9138,,
198,1.9440,,
199,1.9756,,
200,2.0087,,
201,2.0434,,
202,2.0793,,
203,2.1167,,
204,2.1551,,
205,2.1946,,
206,2.2349,,
207,2.2759,,
208,2.3174,,
209,2.3592,,
210,2.4011,,
211,2.4429,,
212,2.4845,,
213,2.5255,,
214,2.5659,,
215,2.6053,,
216,2.6438,,
217,2.6812,,
218,2.7173,,
219,2.7520,,
220,2.7852,,
221,2.8169,,
222,2.8471,,
223,2.8757,,
224,2.9027,,
225,2.9282,,
226,2.9523,,
227,2.9749,,
228,2.9962,,
229,3.0163,,
230,3.0352,,
231,3.0532,,
232,3.0703,,
233,3.0867,,
234,3.1025,,
235,3.1178,,
236,3.1328,,
237,3.1476,,
238,3.1624,,
239,3.1772,,
240,3.1922,,
241,3.2075,,
242,3.2231,,
243,3.2391,,
244,3.2557,,
245,3.2728,,
246,3.2904,,
247,3.3087,,
248,3.3275,,
249,3.3469,,
250,3.3669,,
251,3.3875,,
252,3.4085,,
253,3.4300,,
254,3.4518,,
255,3.4740,,
256,3.4963,,
257,3.5188,,
258,3.5414,,
259,3.5639,,
260,3.5862,,
261,3.6084,,
262,3.6302,,
263,3.6516,,
264,3.6725,,
265,3.6929,,
266,3.7126,,
267,3.7315,,
268,3.7497,,
269,3.7670,,
270,3.7834,,
271,3.7988,,
272,3.8132,,
273,3.8266,,
274,3.8390,,
275,3.8503,,
276,3.8604,,
277,3.8695,,
278,3.8775,,
279,3.8843,,
280,3.8901,,
281,3.8948,,
282,3.8984,,
283,3.9009,,
284,3.9025,,
285,3.9030,,
286,3.9025,,
287,3.9011,,
288,3.8988,,
289,3.8956,,
290,3.8916,,
291,3.8867,,
292,3.8811,,
293,3.8747,,
294,3.8677,,
295,3.8600,,
296,3.8517,,
297,3.8430,,
298,3.8337,,
299,3.8240,,
300,3.8138,,
301,3.8034,,
302,3.7927,,
303,3.7817,,
304,3.7706,,
305,3.7594,,
306,3.7481,,
307,3.7368,,
308,3.7256,,
309,3.7145,,
310,3.7036,,
311,3.6929,,
312,3.6824,,
313,3.6724,,
314,3.6626,,
315,3.6533,,
316,3.6445,,
317,3.6361,,
318,3.6283,,
319,3.6210,,
320,3.6143,,
321,3.6083,,
322,3.6029,,
323,3.5981,,
324,3.5940,,
325,3.5905,,
326,3.5877,,
327,3.5856,,
328,3.5840,,
329,3.5831,,
330,3.5829,,
331,3.5832,,
332,3.5842,,
333,3.5857,,
334,3.5877,,
335,3.5902,,
336,3.5932,,
337,3.5967,,
338,3.6005,,
339,3.6048,,
340,3.6093,,
341,3.6141,,
342,3.6193,,
343,3.6246,,
344,3.6300,,
345,3.6357,,
346,3.6414,,
347,3.6473,,
348,3.6532,,
349,3.6591,,
350,3.6649,,
351,3.6708,,
352,3.6764,,
353,3.6820,,
354,3.6875,,
355,3.6928,,
356,3.6979,,
357,3.7028,,
358,3.7074,,
359,3.7118,,
360,3.7158,,
361,3.7196,,
362,3.7231,,
363,3.7262,,
364,3.7290,,
365,3.7314,,
366,3.7334,,
367,3.7350,,
368,3.7362,,
369,3.7370,,
370,3.7373,,
371,3.7372,,
372,3.7367,,
373,3.7357,,
374,3.7342,,
375,3.7322,,
376,3.7298,,
377,3.7268,,
378,3.7234,,
379,3.7195,,
380,3.7151,,
381,3.7102,,
382,3.7048,,
383,3.6989,,
384,3.6925,,
385,3.6857,,
386,3.6784,,
387,3.6705,,
388,3.6623,,
389,3.6535,,
390,3.6444,,
391,3.6347,,
392,3.6247,,
393,3.6143,,
394,3.6035,,
395,3.5923,,
396,3.5808,,
397,3.5689,,
398,3.5567,,
399,3.5443,,
400,3.5316,,
401,3.5187,,
402,3.5056,,
403,3.4922,,
404,3.4787,,
405,3.4651,,
406,3.4513,,
407,3.4375,,
408,3.4236,,
409,3.4097,,
410,3.3958,,
411,3.3818,,
412,3.3680,,
413,3.3542,,
414,3.3404,,
415,3.3268,,
416,3.3133,,
417,3.2999,,
418,3.2868,,
419,3.2738,,
420,3.2610,,
421,3.2484,,
422,3.2360,,
423,3.2239,,
424,3.2120,,
425,3.2004,,
426,3.1890,,
427,3.1780,,
428,3.1672,,
429,3.1567,,
430,3.1464,,
