[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,15564
Overall Drift (nm/s),1568.68
X-Drift (nm/s),-1107.36
Y-Drift (nm/s),1111.08
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),280.00
Mean (E4 nm^2/s),733.28
Standard Deviation (E4 nm^2/s),457.79

User Line 1,205
User Line 2,588
Average # centres/frame,220.79
Average # particles/frame,161.46
Equivalent particle concentration (E8 particles/ml),25.10
Selected average # particles/frame,70.57
Selected equivalent particle concentration (E8 particles/ml),10.97

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,300
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,8 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0001,,
46,0.0001,,
47,0.0003,,
48,0.0007,,
49,0.0015,,
50,0.0029,,
51,0.0054,,
52,0.0094,,
53,0.0156,,
54,0.0243,,
55,0.0357,,
56,0.0494,,
57,0.0645,,
58,0.0793,,
59,0.0920,,
60,0.1005,,
61,0.1036,,
62,0.1007,,
63,0.0924,,
64,0.0801,,
65,0.0658,,
66,0.0516,,
67,0.0392,,
68,0.0299,,
69,0.0241,,
70,0.0221,,
71,0.0236,,
72,0.0282,,
73,0.0357,,
74,0.0456,,
75,0.0575,,
76,0.0710,,
77,0.0853,,
78,0.0999,,
79,0.1138,,
80,0.1264,,
81,0.1367,,
82,0.1442,,
83,0.1484,,
84,0.1490,,
85,0.1464,,
86,0.1407,,
87,0.1327,,
88,0.1232,,
89,0.1132,,
90,0.1034,,
91,0.0947,,
92,0.0878,,
93,0.0831,,
94,0.0806,,
95,0.0805,,
96,0.0824,,
97,0.0860,,
98,0.0907,,
99,0.0961,,
100,0.1018,,
101,0.1074,,
102,0.1126,,
103,0.1173,,
104,0.1214,,
105,0.1250,,
106,0.1283,,
107,0.1314,,
108,0.1345,,
109,0.1381,,
110,0.1423,,
111,0.1472,,
112,0.1533,,
113,0.1605,,
114,0.1690,,
115,0.1789,,
116,0.1903,,
117,0.2031,,
118,0.2172,,
119,0.2326,,
120,0.2490,,
121,0.2665,,
122,0.2846,,
123,0.3032,,
124,0.3222,,
125,0.3414,,
126,0.3605,,
127,0.3796,,
128,0.3985,,
129,0.4173,,
130,0.4360,,
131,0.4548,,
132,0.4738,,
133,0.4933,,
134,0.5134,,
135,0.5346,,
136,0.5569,,
137,0.5808,,
138,0.6062,,
139,0.6335,,
140,0.6626,,
141,0.6937,,
142,0.7266,,
143,0.7613,,
144,0.7977,,
145,0.8354,,
146,0.8742,,
147,0.9139,,
148,0.9542,,
149,0.9948,,
150,1.0353,,
151,1.0756,,
152,1.1154,,
153,1.1544,,
154,1.1926,,
155,1.2297,,
156,1.2658,,
157,1.3007,,
158,1.3343,,
159,1.3668,,
160,1.3982,,
161,1.4284,,
162,1.4576,,
163,1.4858,,
164,1.5131,,
165,1.5396,,
166,1.5652,,
167,1.5901,,
168,1.6143,,
169,1.6378,,
170,1.6607,,
171,1.6831,,
172,1.7048,,
173,1.7261,,
174,1.7468,,
175,1.7671,,
176,1.7870,,
177,1.8065,,
178,1.8257,,
179,1.8449,,
180,1.8639,,
181,1.8829,,
182,1.9022,,
183,1.9217,,
184,1.9416,,
185,1.9622,,
186,1.9833,,
187,2.0054,,
188,2.0283,,
189,2.0523,,
190,2.0774,,
191,2.1036,,
192,2.1310,,
193,2.1596,,
194,2.1893,,
195,2.2202,,
196,2.2521,,
197,2.2851,,
198,2.3189,,
199,2.3535,,
200,2.3888,,
201,2.4246,,
202,2.4608,,
203,2.4973,,
204,2.5340,,
205,2.5707,,
206,2.6073,,
207,2.6437,,
208,2.6798,,
209,2.7154,,
210,2.7505,,
211,2.7850,,
212,2.8188,,
213,2.8518,,
214,2.8840,,
215,2.9152,,
216,2.9455,,
217,2.9748,,
218,3.0031,,
219,3.0302,,
220,3.0562,,
221,3.0811,,
222,3.1048,,
223,3.1274,,
224,3.1488,,
225,3.1691,,
226,3.1881,,
227,3.2061,,
228,3.2230,,
229,3.2388,,
230,3.2536,,
231,3.2675,,
232,3.2804,,
233,3.2926,,
234,3.3040,,
235,3.3148,,
236,3.3250,,
237,3.3346,,
238,3.3439,,
239,3.3528,,
240,3.3614,,
241,3.3699,,
242,3.3784,,
243,3.3867,,
244,3.3951,,
245,3.4037,,
246,3.4124,,
247,3.4213,,
248,3.4303,,
249,3.4397,,
250,3.4493,,
251,3.4592,,
252,3.4694,,
253,3.4799,,
254,3.4906,,
255,3.5014,,
256,3.5126,,
257,3.5238,,
258,3.5352,,
259,3.5465,,
260,3.5579,,
261,3.5692,,
262,3.5804,,
263,3.5914,,
264,3.6021,,
265,3.6126,,
266,3.6226,,
267,3.6322,,
268,3.6414,,
269,3.6499,,
270,3.6579,,
271,3.6653,,
272,3.6720,,
273,3.6780,,
274,3.6832,,
275,3.6878,,
276,3.6915,,
277,3.6945,,
278,3.6967,,
279,3.6981,,
280,3.6989,,
281,3.6988,,
282,3.6981,,
283,3.6966,,
284,3.6945,,
285,3.6918,,
286,3.6885,,
287,3.6846,,
288,3.6801,,
289,3.6752,,
290,3.6699,,
291,3.6642,,
292,3.6581,,
293,3.6517,,
294,3.6451,,
295,3.6382,,
296,3.6310,,
297,3.6237,,
298,3.6163,,
299,3.6088,,
300,3.6012,,
301,3.5934,,
302,3.5857,,
303,3.5779,,
304,3.5702,,
305,3.5624,,
306,3.5546,,
307,3.5468,,
308,3.5390,,
309,3.5314,,
310,3.5236,,
311,3.5160,,
312,3.5083,,
313,3.5007,,
314,3.4931,,
315,3.4855,,
316,3.4779,,
317,3.4702,,
318,3.4627,,
319,3.4551,,
320,3.4474,,
321,3.4398,,
322,3.4321,,
323,3.4244,,
324,3.4167,,
325,3.4089,,
326,3.4011,,
327,3.3932,,
328,3.3853,,
329,3.3774,,
330,3.3694,,
331,3.3613,,
332,3.3533,,
333,3.3452,,
334,3.3370,,
335,3.3288,,
336,3.3206,,
337,3.3124,,
338,3.3041,,
339,3.2958,,
340,3.2875,,
341,3.2793,,
342,3.2710,,
343,3.2627,,
344,3.2545,,
345,3.2462,,
346,3.2381,,
347,3.2299,,
348,3.2218,,
349,3.2138,,
350,3.2059,,
351,3.1980,,
352,3.1902,,
353,3.1824,,
354,3.1748,,
355,3.1673,,
356,3.1599,,
357,3.1526,,
358,3.1454,,
359,3.1383,,
360,3.1314,,
361,3.1246,,
362,3.1179,,
363,3.1114,,
364,3.1050,,
365,3.0987,,
366,3.0926,,
367,3.0867,,
368,3.0809,,
369,3.0752,,
370,3.0697,,
371,3.0643,,
372,3.0591,,
373,3.0540,,
374,3.0491,,
375,3.0443,,
376,3.0396,,
377,3.0351,,
378,3.0307,,
379,3.0264,,
380,3.0223,,
381,3.0183,,
382,3.0143,,
383,3.0105,,
384,3.0068,,
385,3.0032,,
386,2.9997,,
387,2.9962,,
388,2.9929,,
389,2.9896,,
390,2.9864,,
391,2.9832,,
392,2.9801,,
393,2.9771,,
394,2.9741,,
395,2.9711,,
396,2.9681,,
397,2.9652,,
398,2.9622,,
399,2.9593,,
400,2.9564,,
401,2.9535,,
402,2.9506,,
403,2.9476,,
404,2.9446,,
405,2.9416,,
406,2.9385,,
407,2.9354,,
408,2.9323,,
409,2.9291,,
410,2.9258,,
411,2.9225,,
412,2.9191,,
413,2.9156,,
414,2.9120,,
415,2.9083,,
416,2.9046,,
417,2.9007,,
418,2.8968,,
419,2.8927,,
420,2.8885,,
421,2.8842,,
422,2.8798,,
423,2.8753,,
424,2.8706,,
425,2.8659,,
426,2.8610,,
427,2.8560,,
428,2.8508,,
429,2.8456,,
