[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:19"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,5452
Overall Drift (nm/s),627.88
X-Drift (nm/s),373.50
Y-Drift (nm/s),504.71
Calibration (nm/pixel),166

Size Data - Concentration Weighted,
Mode (nm),190.00
Mean (nm),161.77
Standard Deviation (nm),61.68
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,37
User Line 2,205
Average # centres/frame,75.47
Average # particles/frame,65.55
Equivalent particle concentration (E8 particles/ml),9.78
Selected average # particles/frame,49.36
Selected equivalent particle concentration (E8 particles/ml),7.37

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,26
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,500
Frame rate (fps),30.00
Temperature (°C),24.00
Viscosity (cP),0.909

[Warnings]
Low Completed Tracks,No
High Noise,26 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0001,,
20,0.0005,,
21,0.0022,,
22,0.0074,,
23,0.0186,,
24,0.0360,,
25,0.0575,,
26,0.0825,,
27,0.1151,,
28,0.1585,,
29,0.2110,,
30,0.2676,,
31,0.3247,,
32,0.3854,,
33,0.4584,,
34,0.5509,,
35,0.6648,,
36,0.7946,,
37,0.9314,,
38,1.0665,,
39,1.1944,,
40,1.3135,,
41,1.4237,,
42,1.5255,,
43,1.6198,,
44,1.7087,,
45,1.7954,,
46,1.8839,,
47,1.9773,,
48,2.0763,,
49,2.1799,,
50,2.2847,,
51,2.3865,,
52,2.4807,,
53,2.5633,,
54,2.6319,,
55,2.6867,,
56,2.7291,,
57,2.7628,,
58,2.7912,,
59,2.8173,,
60,2.8429,,
61,2.8685,,
62,2.8946,,
63,2.9213,,
64,2.9490,,
65,2.9786,,
66,3.0106,,
67,3.0445,,
68,3.0790,,
69,3.1119,,
70,3.1404,,
71,3.1622,,
72,3.1754,,
73,3.1796,,
74,3.1756,,
75,3.1655,,
76,3.1520,,
77,3.1381,,
78,3.1267,,
79,3.1203,,
80,3.1202,,
81,3.1272,,
82,3.1411,,
83,3.1608,,
84,3.1855,,
85,3.2137,,
86,3.2442,,
87,3.2760,,
88,3.3086,,
89,3.3413,,
90,3.3741,,
91,3.4067,,
92,3.4389,,
93,3.4705,,
94,3.5011,,
95,3.5307,,
96,3.5590,,
97,3.5855,,
98,3.6103,,
99,3.6337,,
100,3.6560,,
101,3.6776,,
102,3.6992,,
103,3.7216,,
104,3.7456,,
105,3.7717,,
106,3.8005,,
107,3.8326,,
108,3.8679,,
109,3.9066,,
110,3.9485,,
111,3.9931,,
112,4.0402,,
113,4.0893,,
114,4.1397,,
115,4.1908,,
116,4.2420,,
117,4.2929,,
118,4.3427,,
119,4.3912,,
120,4.4378,,
121,4.4825,,
122,4.5250,,
123,4.5654,,
124,4.6038,,
125,4.6402,,
126,4.6751,,
127,4.7085,,
128,4.7410,,
129,4.7726,,
130,4.8034,,
131,4.8334,,
132,4.8628,,
133,4.8915,,
134,4.9193,,
135,4.9461,,
136,4.9717,,
137,4.9962,,
138,5.0196,,
139,5.0418,,
140,5.0633,,
141,5.0840,,
142,5.1044,,
143,5.1250,,
144,5.1459,,
145,5.1677,,
146,5.1908,,
147,5.2154,,
148,5.2417,,
149,5.2699,,
150,5.3001,,
151,5.3322,,
152,5.3661,,
153,5.4015,,
154,5.4383,,
155,5.4761,,
156,5.5145,,
157,5.5534,,
158,5.5922,,
159,5.6309,,
160,5.6693,,
161,5.7071,,
162,5.7443,,
163,5.7807,,
164,5.8164,,
165,5.8517,,
166,5.8864,,
167,5.9208,,
168,5.9550,,
169,5.9890,,
170,6.0231,,
171,6.0574,,
172,6.0918,,
173,6.1263,,
174,6.1610,,
175,6.1957,,
176,6.2304,,
177,6.2647,,
178,6.2984,,
179,6.3314,,
180,6.3633,,
181,6.3937,,
182,6.4224,,
183,6.4489,,
184,6.4729,,
185,6.4943,,
186,6.5123,,
187,6.5270,,
188,6.5378,,
189,6.5446,,
190,6.5472,,
191,6.5451,,
192,6.5383,,
193,6.5266,,
194,6.5099,,
195,6.4882,,
196,6.4613,,
197,6.4292,,
198,6.3921,,
199,6.3500,,
200,6.3030,,
201,6.2512,,
202,6.1948,,
203,6.1340,,
204,6.0691,,
205,6.0003,,
206,5.9276,,
207,5.8516,,
208,5.7723,,
209,5.6901,,
210,5.6051,,
211,5.5175,,
212,5.4277,,
213,5.3358,,
214,5.2421,,
215,5.1465,,
216,5.0494,,
217,4.9509,,
218,4.8512,,
219,4.7504,,
220,4.6487,,
221,4.5461,,
222,4.4428,,
223,4.3392,,
224,4.2351,,
225,4.1308,,
226,4.0264,,
227,3.9221,,
228,3.8182,,
229,3.7146,,
230,3.6114,,
231,3.5090,,
232,3.4075,,
233,3.3070,,
234,3.2075,,
235,3.1093,,
236,3.0125,,
237,2.9173,,
238,2.8236,,
239,2.7316,,
240,2.6414,,
241,2.5531,,
242,2.4667,,
243,2.3823,,
244,2.3000,,
245,2.2197,,
246,2.1415,,
247,2.0655,,
248,1.9917,,
249,1.9200,,
250,1.8505,,
251,1.7831,,
252,1.7180,,
253,1.6550,,
254,1.5941,,
255,1.5353,,
256,1.4787,,
257,1.4241,,
258,1.3715,,
259,1.3210,,
260,1.2724,,
261,1.2258,,
262,1.1811,,
263,1.1383,,
264,1.0973,,
265,1.0580,,
266,1.0206,,
267,0.9848,,
268,0.9506,,
269,0.9181,,
270,0.8871,,
271,0.8576,,
272,0.8294,,
273,0.8027,,
274,0.7772,,
275,0.7531,,
276,0.7301,,
277,0.7082,,
278,0.6875,,
279,0.6678,,
280,0.6491,,
281,0.6313,,
282,0.6144,,
283,0.5982,,
284,0.5828,,
285,0.5681,,
286,0.5541,,
287,0.5407,,
288,0.5278,,
289,0.5154,,
290,0.5036,,
291,0.4921,,
292,0.4811,,
293,0.4704,,
294,0.4601,,
295,0.4501,,
296,0.4403,,
297,0.4308,,
298,0.4215,,
299,0.4124,,
300,0.4034,,
301,0.3947,,
302,0.3861,,
303,0.3776,,
304,0.3693,,
305,0.3611,,
306,0.3530,,
307,0.3449,,
308,0.3370,,
309,0.3292,,
310,0.3214,,
311,0.3138,,
312,0.3062,,
313,0.2987,,
314,0.2913,,
315,0.2839,,
316,0.2766,,
317,0.2695,,
318,0.2624,,
319,0.2554,,
320,0.2484,,
321,0.2416,,
322,0.2348,,
323,0.2282,,
324,0.2216,,
325,0.2151,,
326,0.2088,,
327,0.2025,,
328,0.1964,,
329,0.1904,,
330,0.1844,,
331,0.1786,,
332,0.1730,,
333,0.1674,,
334,0.1620,,
335,0.1567,,
336,0.1516,,
337,0.1465,,
338,0.1416,,
339,0.1369,,
340,0.1323,,
341,0.1278,,
342,0.1234,,
343,0.1192,,
344,0.1152,,
345,0.1112,,
346,0.1074,,
347,0.1038,,
348,0.1002,,
349,0.0968,,
350,0.0936,,
351,0.0904,,
352,0.0874,,
353,0.0845,,
354,0.0817,,
355,0.0790,,
356,0.0765,,
357,0.0740,,
358,0.0717,,
359,0.0694,,
360,0.0672,,
361,0.0652,,
362,0.0632,,
363,0.0613,,
364,0.0595,,
365,0.0577,,
366,0.0560,,
367,0.0544,,
368,0.0529,,
369,0.0514,,
370,0.0500,,
371,0.0486,,
372,0.0473,,
373,0.0460,,
374,0.0448,,
375,0.0436,,
376,0.0425,,
377,0.0414,,
378,0.0403,,
379,0.0393,,
380,0.0383,,
381,0.0373,,
382,0.0363,,
383,0.0354,,
384,0.0345,,
385,0.0337,,
386,0.0328,,
387,0.0320,,
388,0.0312,,
389,0.0305,,
390,0.0297,,
391,0.0290,,
392,0.0283,,
393,0.0276,,
394,0.0269,,
395,0.0262,,
396,0.0256,,
397,0.0250,,
398,0.0244,,
399,0.0238,,
400,0.0232,,
401,0.0227,,
402,0.0221,,
403,0.0216,,
404,0.0211,,
405,0.0206,,
406,0.0201,,
407,0.0196,,
408,0.0192,,
409,0.0188,,
410,0.0184,,
411,0.0180,,
412,0.0176,,
413,0.0172,,
414,0.0169,,
415,0.0165,,
416,0.0162,,
417,0.0159,,
418,0.0156,,
419,0.0153,,
420,0.0150,,
421,0.0148,,
422,0.0145,,
423,0.0143,,
424,0.0141,,
425,0.0139,,
426,0.0137,,
427,0.0135,,
428,0.0133,,
429,0.0131,,
430,0.0130,,
431,0.0128,,
432,0.0127,,
433,0.0125,,
