[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,3394
Overall Drift (nm/s),365.87
X-Drift (nm/s),-328.74
Y-Drift (nm/s),160.60
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),279.00
Mean (E4 nm^2/s),414.92
Standard Deviation (E4 nm^2/s),211.11

User Line 1,354
User Line 2,0
Average # centres/frame,103.87
Average # particles/frame,85.36
Equivalent particle concentration (E8 particles/ml),12.79
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.20
Viscosity (cP),0.905

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0000,,
56,0.0000,,
57,0.0000,,
58,0.0000,,
59,0.0000,,
60,0.0000,,
61,0.0000,,
62,0.0000,,
63,0.0000,,
64,0.0000,,
65,0.0000,,
66,0.0000,,
67,0.0000,,
68,0.0000,,
69,0.0000,,
70,0.0000,,
71,0.0000,,
72,0.0000,,
73,0.0000,,
74,0.0000,,
75,0.0000,,
76,0.0000,,
77,0.0000,,
78,0.0000,,
79,0.0001,,
80,0.0001,,
81,0.0003,,
82,0.0004,,
83,0.0007,,
84,0.0010,,
85,0.0015,,
86,0.0023,,
87,0.0033,,
88,0.0047,,
89,0.0067,,
90,0.0092,,
91,0.0124,,
92,0.0166,,
93,0.0217,,
94,0.0279,,
95,0.0352,,
96,0.0438,,
97,0.0535,,
98,0.0644,,
99,0.0764,,
100,0.0891,,
101,0.1025,,
102,0.1162,,
103,0.1300,,
104,0.1435,,
105,0.1564,,
106,0.1685,,
107,0.1794,,
108,0.1892,,
109,0.1976,,
110,0.2047,,
111,0.2105,,
112,0.2153,,
113,0.2190,,
114,0.2221,,
115,0.2247,,
116,0.2271,,
117,0.2296,,
118,0.2323,,
119,0.2355,,
120,0.2393,,
121,0.2438,,
122,0.2491,,
123,0.2554,,
124,0.2626,,
125,0.2708,,
126,0.2802,,
127,0.2909,,
128,0.3028,,
129,0.3163,,
130,0.3316,,
131,0.3486,,
132,0.3678,,
133,0.3891,,
134,0.4129,,
135,0.4391,,
136,0.4677,,
137,0.4987,,
138,0.5321,,
139,0.5676,,
140,0.6051,,
141,0.6441,,
142,0.6845,,
143,0.7257,,
144,0.7673,,
145,0.8090,,
146,0.8504,,
147,0.8910,,
148,0.9306,,
149,0.9688,,
150,1.0054,,
151,1.0403,,
152,1.0733,,
153,1.1044,,
154,1.1337,,
155,1.1612,,
156,1.1871,,
157,1.2115,,
158,1.2348,,
159,1.2571,,
160,1.2788,,
161,1.3001,,
162,1.3214,,
163,1.3428,,
164,1.3646,,
165,1.3872,,
166,1.4106,,
167,1.4351,,
168,1.4607,,
169,1.4876,,
170,1.5159,,
171,1.5455,,
172,1.5765,,
173,1.6090,,
174,1.6427,,
175,1.6777,,
176,1.7140,,
177,1.7514,,
178,1.7897,,
179,1.8290,,
180,1.8690,,
181,1.9097,,
182,1.9508,,
183,1.9923,,
184,2.0341,,
185,2.0759,,
186,2.1176,,
187,2.1591,,
188,2.2002,,
189,2.2408,,
190,2.2807,,
191,2.3197,,
192,2.3577,,
193,2.3945,,
194,2.4301,,
195,2.4643,,
196,2.4970,,
197,2.5281,,
198,2.5575,,
199,2.5851,,
200,2.6110,,
201,2.6351,,
202,2.6574,,
203,2.6779,,
204,2.6967,,
205,2.7139,,
206,2.7296,,
207,2.7440,,
208,2.7570,,
209,2.7691,,
210,2.7802,,
211,2.7906,,
212,2.8005,,
213,2.8100,,
214,2.8195,,
215,2.8290,,
216,2.8388,,
217,2.8490,,
218,2.8598,,
219,2.8714,,
220,2.8838,,
221,2.8972,,
222,2.9116,,
223,2.9271,,
224,2.9438,,
225,2.9616,,
226,2.9804,,
227,3.0004,,
228,3.0215,,
229,3.0436,,
230,3.0665,,
231,3.0902,,
232,3.1147,,
233,3.1397,,
234,3.1652,,
235,3.1910,,
236,3.2171,,
237,3.2432,,
238,3.2693,,
239,3.2953,,
240,3.3209,,
241,3.3462,,
242,3.3711,,
243,3.3955,,
244,3.4192,,
245,3.4422,,
246,3.4645,,
247,3.4861,,
248,3.5068,,
249,3.5266,,
250,3.5456,,
251,3.5637,,
252,3.5810,,
253,3.5975,,
254,3.6131,,
255,3.6279,,
256,3.6419,,
257,3.6551,,
258,3.6676,,
259,3.6793,,
260,3.6904,,
261,3.7009,,
262,3.7106,,
263,3.7198,,
264,3.7284,,
265,3.7364,,
266,3.7438,,
267,3.7507,,
268,3.7571,,
269,3.7629,,
270,3.7682,,
271,3.7730,,
272,3.7773,,
273,3.7810,,
274,3.7842,,
275,3.7869,,
276,3.7890,,
277,3.7906,,
278,3.7917,,
279,3.7921,,
280,3.7921,,
281,3.7915,,
282,3.7903,,
283,3.7887,,
284,3.7864,,
285,3.7838,,
286,3.7805,,
287,3.7768,,
288,3.7727,,
289,3.7681,,
290,3.7631,,
291,3.7576,,
292,3.7519,,
293,3.7457,,
294,3.7393,,
295,3.7326,,
296,3.7256,,
297,3.7184,,
298,3.7110,,
299,3.7034,,
300,3.6957,,
301,3.6878,,
302,3.6798,,
303,3.6717,,
304,3.6635,,
305,3.6552,,
306,3.6468,,
307,3.6384,,
308,3.6298,,
309,3.6212,,
310,3.6125,,
311,3.6037,,
312,3.5947,,
313,3.5856,,
314,3.5763,,
315,3.5668,,
316,3.5572,,
317,3.5473,,
318,3.5371,,
319,3.5266,,
320,3.5159,,
321,3.5048,,
322,3.4934,,
323,3.4816,,
324,3.4694,,
325,3.4568,,
326,3.4438,,
327,3.4304,,
328,3.4166,,
329,3.4024,,
330,3.3878,,
331,3.3727,,
332,3.3573,,
333,3.3415,,
334,3.3253,,
335,3.3088,,
336,3.2920,,
337,3.2750,,
338,3.2577,,
339,3.2402,,
340,3.2226,,
341,3.2048,,
342,3.1869,,
343,3.1689,,
344,3.1510,,
345,3.1331,,
346,3.1152,,
347,3.0975,,
348,3.0798,,
349,3.0624,,
350,3.0452,,
351,3.0282,,
352,3.0114,,
353,2.9950,,
354,2.9788,,
355,2.9630,,
356,2.9476,,
357,2.9324,,
358,2.9176,,
359,2.9032,,
360,2.8892,,
361,2.8755,,
362,2.8621,,
363,2.8491,,
364,2.8364,,
365,2.8241,,
366,2.8121,,
367,2.8003,,
368,2.7888,,
369,2.7775,,
370,2.7665,,
371,2.7557,,
372,2.7450,,
373,2.7345,,
374,2.7242,,
375,2.7139,,
376,2.7037,,
377,2.6936,,
378,2.6836,,
379,2.6735,,
380,2.6635,,
381,2.6534,,
382,2.6433,,
383,2.6332,,
384,2.6230,,
385,2.6127,,
386,2.6023,,
387,2.5919,,
388,2.5814,,
389,2.5707,,
390,2.5600,,
391,2.5492,,
392,2.5382,,
393,2.5272,,
394,2.5161,,
395,2.5049,,
396,2.4936,,
397,2.4822,,
398,2.4708,,
399,2.4594,,
400,2.4479,,
401,2.4363,,
402,2.4248,,
403,2.4132,,
404,2.4016,,
405,2.3901,,
406,2.3785,,
407,2.3670,,
408,2.3556,,
409,2.3442,,
410,2.3329,,
411,2.3216,,
412,2.3105,,
413,2.2994,,
414,2.2884,,
415,2.2776,,
416,2.2668,,
417,2.2563,,
418,2.2458,,
419,2.2354,,
420,2.2252,,
421,2.2151,,
422,2.2052,,
423,2.1954,,
424,2.1857,,
425,2.1761,,
426,2.1667,,
427,2.1574,,
428,2.1483,,
429,2.1392,,
