[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,8731
Overall Drift (nm/s),394.39
X-Drift (nm/s),-315.38
Y-Drift (nm/s),236.81
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),245.00
Mean (E4 nm^2/s),402.27
Standard Deviation (E4 nm^2/s),214.93

User Line 1,354
User Line 2,0
Average # centres/frame,94.00
Average # particles/frame,75.66
Equivalent particle concentration (E8 particles/ml),11.33
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.10
Viscosity (cP),0.907

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
0,0.0000,,
1,0.0000,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
10,0.0000,,
11,0.0000,,
12,0.0000,,
13,0.0000,,
14,0.0000,,
15,0.0000,,
16,0.0000,,
17,0.0000,,
18,0.0000,,
19,0.0000,,
20,0.0000,,
21,0.0000,,
22,0.0000,,
23,0.0000,,
24,0.0000,,
25,0.0000,,
26,0.0000,,
27,0.0000,,
28,0.0000,,
29,0.0000,,
30,0.0000,,
31,0.0000,,
32,0.0000,,
33,0.0000,,
34,0.0000,,
35,0.0000,,
36,0.0000,,
37,0.0000,,
38,0.0000,,
39,0.0000,,
40,0.0000,,
41,0.0000,,
42,0.0000,,
43,0.0000,,
44,0.0000,,
45,0.0000,,
46,0.0000,,
47,0.0000,,
48,0.0000,,
49,0.0000,,
50,0.0000,,
51,0.0000,,
52,0.0000,,
53,0.0000,,
54,0.0000,,
55,0.0000,,
56,0.0000,,
57,0.0000,,
58,0.0000,,
59,0.0000,,
60,0.0000,,
61,0.0000,,
62,0.0000,,
63,0.0000,,
64,0.0000,,
65,0.0000,,
66,0.0000,,
67,0.0000,,
68,0.0000,,
69,0.0000,,
70,0.0000,,
71,0.0000,,
72,0.0001,,
73,0.0001,,
74,0.0002,,
75,0.0003,,
76,0.0005,,
77,0.0008,,
78,0.0012,,
79,0.0017,,
80,0.0025,,
81,0.0036,,
82,0.0051,,
83,0.0070,,
84,0.0093,,
85,0.0121,,
86,0.0154,,
87,0.0193,,
88,0.0235,,
89,0.0281,,
90,0.0330,,
91,0.0380,,
92,0.0430,,
93,0.0480,,
94,0.0528,,
95,0.0574,,
96,0.0620,,
97,0.0665,,
98,0.0711,,
99,0.0761,,
100,0.0817,,
101,0.0880,,
102,0.0952,,
103,0.1035,,
104,0.1130,,
105,0.1238,,
106,0.1357,,
107,0.1488,,
108,0.1629,,
109,0.1779,,
110,0.1936,,
111,0.2099,,
112,0.2266,,
113,0.2436,,
114,0.2607,,
115,0.2779,,
116,0.2952,,
117,0.3123,,
118,0.3296,,
119,0.3466,,
120,0.3637,,
121,0.3807,,
122,0.3979,,
123,0.4151,,
124,0.4326,,
125,0.4504,,
126,0.4687,,
127,0.4876,,
128,0.5073,,
129,0.5279,,
130,0.5495,,
131,0.5723,,
132,0.5964,,
133,0.6218,,
134,0.6487,,
135,0.6770,,
136,0.7068,,
137,0.7380,,
138,0.7705,,
139,0.8043,,
140,0.8393,,
141,0.8754,,
142,0.9124,,
143,0.9504,,
144,0.9890,,
145,1.0283,,
146,1.0682,,
147,1.1086,,
148,1.1494,,
149,1.1905,,
150,1.2317,,
151,1.2732,,
152,1.3146,,
153,1.3559,,
154,1.3971,,
155,1.4379,,
156,1.4781,,
157,1.5178,,
158,1.5566,,
159,1.5946,,
160,1.6314,,
161,1.6671,,
162,1.7016,,
163,1.7348,,
164,1.7666,,
165,1.7971,,
166,1.8263,,
167,1.8542,,
168,1.8810,,
169,1.9067,,
170,1.9314,,
171,1.9553,,
172,1.9784,,
173,2.0008,,
174,2.0228,,
175,2.0442,,
176,2.0654,,
177,2.0862,,
178,2.1068,,
179,2.1272,,
180,2.1474,,
181,2.1675,,
182,2.1874,,
183,2.2071,,
184,2.2268,,
185,2.2463,,
186,2.2657,,
187,2.2851,,
188,2.3043,,
189,2.3235,,
190,2.3427,,
191,2.3619,,
192,2.3812,,
193,2.4005,,
194,2.4200,,
195,2.4397,,
196,2.4596,,
197,2.4797,,
198,2.5002,,
199,2.5209,,
200,2.5420,,
201,2.5634,,
202,2.5853,,
203,2.6075,,
204,2.6302,,
205,2.6533,,
206,2.6770,,
207,2.7010,,
208,2.7256,,
209,2.7506,,
210,2.7761,,
211,2.8020,,
212,2.8284,,
213,2.8552,,
214,2.8824,,
215,2.9100,,
216,2.9379,,
217,2.9661,,
218,2.9945,,
219,3.0230,,
220,3.0516,,
221,3.0801,,
222,3.1086,,
223,3.1368,,
224,3.1646,,
225,3.1920,,
226,3.2188,,
227,3.2449,,
228,3.2702,,
229,3.2946,,
230,3.3179,,
231,3.3400,,
232,3.3609,,
233,3.3804,,
234,3.3986,,
235,3.4152,,
236,3.4302,,
237,3.4437,,
238,3.4556,,
239,3.4658,,
240,3.4744,,
241,3.4814,,
242,3.4869,,
243,3.4908,,
244,3.4932,,
245,3.4943,,
246,3.4941,,
247,3.4926,,
248,3.4900,,
249,3.4864,,
250,3.4819,,
251,3.4765,,
252,3.4705,,
253,3.4639,,
254,3.4568,,
255,3.4493,,
256,3.4416,,
257,3.4336,,
258,3.4255,,
259,3.4175,,
260,3.4094,,
261,3.4015,,
262,3.3937,,
263,3.3861,,
264,3.3788,,
265,3.3716,,
266,3.3647,,
267,3.3581,,
268,3.3518,,
269,3.3456,,
270,3.3397,,
271,3.3340,,
272,3.3285,,
273,3.3231,,
274,3.3178,,
275,3.3127,,
276,3.3075,,
277,3.3023,,
278,3.2971,,
279,3.2917,,
280,3.2864,,
281,3.2808,,
282,3.2750,,
283,3.2691,,
284,3.2629,,
285,3.2565,,
286,3.2499,,
287,3.2429,,
288,3.2357,,
289,3.2282,,
290,3.2204,,
291,3.2123,,
292,3.2040,,
293,3.1953,,
294,3.1864,,
295,3.1772,,
296,3.1678,,
297,3.1582,,
298,3.1483,,
299,3.1382,,
300,3.1279,,
301,3.1173,,
302,3.1067,,
303,3.0958,,
304,3.0848,,
305,3.0737,,
306,3.0624,,
307,3.0509,,
308,3.0394,,
309,3.0277,,
310,3.0160,,
311,3.0041,,
312,2.9922,,
313,2.9802,,
314,2.9680,,
315,2.9558,,
316,2.9436,,
317,2.9312,,
318,2.9188,,
319,2.9064,,
320,2.8938,,
321,2.8812,,
322,2.8686,,
323,2.8560,,
324,2.8432,,
325,2.8305,,
326,2.8177,,
327,2.8049,,
328,2.7920,,
329,2.7792,,
330,2.7663,,
331,2.7534,,
332,2.7406,,
333,2.7277,,
334,2.7148,,
335,2.7020,,
336,2.6891,,
337,2.6763,,
338,2.6635,,
339,2.6508,,
340,2.6380,,
341,2.6254,,
342,2.6127,,
343,2.6001,,
344,2.5876,,
345,2.5751,,
346,2.5627,,
347,2.5503,,
348,2.5380,,
349,2.5257,,
350,2.5135,,
351,2.5014,,
352,2.4894,,
353,2.4774,,
354,2.4654,,
355,2.4536,,
356,2.4418,,
357,2.4301,,
358,2.4184,,
359,2.4068,,
360,2.3953,,
361,2.3839,,
362,2.3725,,
363,2.3612,,
364,2.3500,,
365,2.3388,,
366,2.3278,,
367,2.3167,,
368,2.3058,,
369,2.2949,,
370,2.2841,,
371,2.2734,,
372,2.2627,,
373,2.2521,,
374,2.2416,,
375,2.2312,,
376,2.2207,,
377,2.2104,,
378,2.2001,,
379,2.1899,,
380,2.1798,,
381,2.1697,,
382,2.1596,,
383,2.1497,,
384,2.1397,,
385,2.1299,,
386,2.1200,,
387,2.1103,,
388,2.1005,,
389,2.0909,,
390,2.0812,,
391,2.0717,,
392,2.0621,,
393,2.0526,,
394,2.0432,,
395,2.0338,,
396,2.0244,,
397,2.0151,,
398,2.0058,,
399,1.9966,,
400,1.9875,,
401,1.9783,,
402,1.9692,,
403,1.9602,,
404,1.9512,,
405,1.9423,,
406,1.9334,,
407,1.9246,,
408,1.9159,,
409,1.9072,,
410,1.8985,,
411,1.8900,,
412,1.8815,,
413,1.8730,,
414,1.8647,,
415,1.8564,,
416,1.8481,,
417,1.8400,,
418,1.8319,,
419,1.8239,,
420,1.8159,,
421,1.8080,,
422,1.8002,,
423,1.7925,,
424,1.7848,,
425,1.7773,,
426,1.7697,,
427,1.7623,,
428,1.7549,,
429,1.7476,,
430,1.7403,,
