#U/V    I/µA
-4.00   -2976
-3.48   -2962
-3.00   -2919
-2.51   -2850
-2.01   -2766
-1.49   -2663
-1.00   -2557
-0.75   -2498
-0.50   -2442
-0.24   -2383
0.00    -2322
0.25    -2266
0.29    -2255
1.49    -1738
1.76    -1673
2.01    -1607
2.25    -1547
2.49    -1492
2.77    -1445
3.02    -1404
3.25    -1337
3.40    -1213
3.50    -1054
3.60    -857
3.70    -603
3.80    -257
3.82    -171
3.84    -105
3.86    -11.6
3.88    50
3.89    126.3
3.90    149
3.92    250
3.94    377
4.00    672
4.09    1306
4.20    2211
4.40    4608
