#U/V    I/µA
-4.00   -636
-3.73   -629
-3.49   -622
-3.26   -617
-3.01   -610
-2.73   -602
-2.50   -596
-2.25   -586
-2.01   -576
-1.74   -566
-1.49   -557
-1.24   -545
-0.99   -533
-0.76   -521
-0.50   -506
-0.25   -490
-0.20   -486
-0.15   -484
-0.10   -481
-0.05   -478
0.00    -473
0.05    -470
0.08    -467
0.38    -446
0.50    -438
0.75    -420
0.98    -401
1.24    -377
1.50    -347
1.75    -311
2.00    -263
2.27    -198
2.51    -116
2.60    -77
2.66    -46
2.71    -22
2.75    2
2.80    34
2.86    70
2.90    99
2.96    143
3.00    182
3.10    273
3.20    398
3.40    719
3.60    1175
3.80    1843
4.00    2842
