#U/V    I/mA    R/Ω
0.05    -20.0   0
0.063   -17.0   1
0.075   -15.0   2
0.088   -14.0   3
0.098   -13.2   4
0.111   -12.9   5
0.126   -12.8   6
0.147   -13.3   7
0.154   -12.5   8
0.174   -14.3   9
0.185   -12.5   10
0.335   -12.8   20
0.55    -14.8   30
0.74    -14.7   40
0.90    -14.0   50
0.95    -13.0   60
1.08    -12.8   70
1.25    -13.1   80
1.39    -12.9   90
1.81    -15.1   100
2.68    -15.1   150
3.46    -14.7   200
3.91    -13.1   250
4.12    -11.63  300
4.27    -10.32  350
4.34    -9.21   400
4.41    -7.47   500
4.46    -6.32   600
4.51    -5.47   700
4.53    -4.81   800
4.56    -3.87   1000
4.62    -1.96   2000
4.65    -1.31   3000
4.66    -0.78   5000
4.67    -0.394  10000
4.68    -0.198  20000

