#U/V    I/µA    R/kΩ
0.29    -2490   0
0.56    -2410   0.1
0.82    -2356   0.2
1.07    -2297   0.3
1.31    -2242   0.4
1.53    -2181   0.5
1.75    -2134   0.6
1.95    -2091   0.7
2.16    -2053   0.8
2.36    -2020   0.9
2.56    -1992   1.
2.75    -1963   1.1
2.93    -1935   1.2
3.08    -1888   1.3
3.19    -1822   1.4
3.26    -1751   1.5
3.33    -1679   1.6
3.42    -1545   1.8
3.49    -1426   2.
3.54    -1322   2.2
3.58    -1230   2.4
3.62    -1149   2.6
3.64    -1078   2.8
3.67    -1015   3.
3.72    -885    3.5
3.75    -784    4.
3.77    -703    4.5
3.79    -637    5.
3.81    -536.7  6.
3.83    -463.4  7.
3.85    -407.7  8.
3.86    -363.8  9.
3.87    -328.0  10.
3.89    -220.9  15.
3.90    -166.3  20.
3.91    -133.5  25.
3.92    -111.4  30.
3.93    -67.0   50.
3.94    0.00    NaN
