#U/V    I/µA    R/kΩ
0.04    -412    0
0.08    -380    0.1
0.13    -376    .2
0.17    -373    .3
0.21    -370    .4
0.25    -366    .5
0.29    -360    .6
0.33    -356    .700
0.37    -351    .800
0.40    -347    .900
0.43    -341    1.
0.72    -294    2.
0.87    -244    3.
0.98    -207    4.
1.07    -180    5.
1.14    -160    6.
1.19    -145    7.
1.24    -132    8.
1.28    -121    9.
1.32    -112    10.
1.45    -82.4   15.
1.52    -65.3   20.
1.58    -54.2   25.
1.62    -46.2   30.
1.65    -40.4   35.
1.67    -35.8   40.
1.69    -32.2   45
1.70    -29.2   50.
1.72    -26.8   55.
1.73    -24.6   60.
1.74    -21.3   70.
1.76    -18.8   80.
1.77    -16.8   90.
1.78    -15.2   100.
1.84    0.00    NaN
