#T/°C	U/V	UH/mV	I/mA
21.7	0.711	-20.92	20.11
25.0	0.722	-20.87	20.11
30.0	0.738	-20.74	20.11
35.0	0.755	-20.55	20.10
40.0	0.771	-20.32	20.10
45.0	0.786	-20.04	20.10
50.0	0.799	-19.70	20.10
55.0	0.809	-19.27	20.10
60.0	0.817	-18.68	20.10
65.0	0.818	-18.12	20.10
70.0	0.813	-17.36	20.10
75.0	0.800	-16.45	20.10
80.0	0.779	-15.44	20.10
85.0	0.747	-14.22	20.10
90.0	0.709	-13.01	20.11
95.0	0.664	-11.81	20.11
100.0	0.615	-10.62	20.11
105.0	0.564	-9.51	20.11
110.0	0.5157	-8.49	20.11
115.5	0.4638	-7.52	20.11
120.0	0.4221	-6.78	20.11
125.0	0.3807	-6.08	20.11
130.0	0.3415	-5.41	20.11
135.0	0.3065	-4.82	20.11
140.0	0.2746	-4.31	20.11
145.0	0.2467	-3.85	20.11
150.0	0.2214	-3.47	20.12
155.0	0.1988	-3.13	20.12
160.0	0.1789	-2.85	20.11
162.6	0.1692	-2.72	20.11
