#B/mT	UH/mV	U/V	I/mA	T/°C
200.0	39.79	1.388	20.16	27.1
193.0	38.60	1.394	20.17	27.7
186.0	37.20	1.395	20.18	27.9
179.0	35.95	1.395	20.18	28.0
174.0	34.99	1.395	20.18	28.1
169.0	34.01	1.395	20.17	28.2
160.0	32.35	1.395	20.18	28.23
154.0	31.28	1.395	20.18	28.4
146.0	29.72	1.395	20.18	28.4
139.0	28.23	1.395	20.18	28.5
131.0	26.71	1.395	20.18	28.6
119.0	24.34	1.393	20.18	28.6
113.0	23.24	1.394	20.18	28.7
106.0	21.83	1.393	20.17	28.7
97.0	19.93	1.3903	20.17	28.8
93.0	19.12	1.392	20.16	28.9
89.0	18.39	1.393	20.16	28.9
81.0	16.67	1.392	20.16	29.0
73.8	15.20	1.392	20.16	29.1
68.0	14.00	1.393	20.16	29.1
60.6	12.48	1.393	20.16	29.2
53.9	11.10	1.393	20.16	29.2
45.4	9.35	1.392	20.16	29.3
32.8	6.75	1.393	20.16	29.3
25.1	5.16	1.393	20.16	29.3
20.6	4.12	1.393	20.16	29.4
