#T/°C	U/V	UH/mV	I/mA
30.0	1.418	39.75	20.16
35.0	1.463	39.45	20.15
40.0	1.510	39.01	20.15
45.0	1.553	38.38	20.16
50.0	1.592	37.49	20.15	
55.0	1.624	36.22	20.15
60.0	1.646	34.36	20.14
65.0	1.652	31.97	20.14
70.0	1.638	28.83	20.14
75.0	1.602	25.04	20.14
80.0	1.537	20.61	20.15
85.0	1.447	16.18	20.15
90.0	1.335	12.00	20.16
95.0		
100.0	1.077	5.38	20.16
105.5	0.940	3.16	20.16	
110.0	0.840	1.93	20.17
115.0	0.739	1.06	20.18
120.0	0.651	0.41	20.17
125.1	0.571	0	20.18
130.0	0.5158	-0.22	20.18
135.0	0.4773	-0.36	20.18
140.0	0.4615	-0.40	20.18
145.0	0.44324	-0.44	20.18
150.0	0.3443	-0.45	20.18
155.0	0.3022	-0.45	20.19
160.0	0.2566	-0.45	20.19
163.3	0.2309	-0.45	20.19

