#T/V	U/V	 I/mA
25.0	2.461	3.06	
30.0	1.985	3.07
35.0	1.601	3.08
37.5	1.437	3.08	
40.0	1.294	3.09
42.5	1.166	3.10
45.0	1.051	3.10
47.5	0.951	3.10
50.0	0.859	3.11
52.5	0.776	3.11
55.0	0.704	3.12
57.5	0.638	3.11
60.0	0.579	3.12
62.5	0.5311	3.12
65.0	0.4824	3.12
67.5	0.4399	3.12
70.0	0.4017	3.12
72.5	0.3676	3.12
75.0	0.3378	3.13
77.5	0.3092	3.13
80.0	0.2829	3.13
82.5	0.2601	3.13
85.0	0.2394	3.14
87.5	0.2207	3.14
90.0	0.2034	3.14
92.5	0.1878	3.14
95.0	0.1728	3.14
97.5	0.1599	3.14
100.0	0.1481	3.14
102.5	0.1372	3.15
105.0	0.1274	3.14
107.5	0.1183	3.14
110.0	0.1101	3.14
112.5	0.1025	3.14
115.0	0.0956	3.14
117.5	0.0892	3.14
120.0	0.0834	3.14
122.5	0.0779	3.14
125.0	0.0728	3.14
127.5	0.0682	3.15
130.0	0.0641	3.14
132.5	0.0601	3.15
135.0	0.0565	3.15
137.5	0.05326	3.14
140.0	0.05013	3.15
142.5	0.04729	3.15
145.0	0.04462	3.15
147.5	0.04208	3.14
150.0	0.03974	3.15
152.5	0.03756	3.15	
155.0	0.03555	3.15
157.5	0.03371	3.15
