Zählrohrwinkel	Rate bei 15kV	Rate bei 17kV	Rate bei 19kV	Rate bei 21kV	Rate bei 23kV	Rate bei 25kV	Rate bei 27kV	Rate bei 29kV	Rate bei 31kV
2*theta/°	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s

7,0	5,0	2,0	9,0	6,0	13,0	21,0	37,0	57,0	90,0
7,2	1,0	3,0	4,0	8,0	11,0	20,0	32,0	58,0	92,0
7,4	3,0	2,0	8,0	7,0	11,0	21,0	26,0	48,0	77,0
7,6	3,0	4,0	7,0	7,0	6,0	19,0	27,0	47,0	70,0
7,8	2,0	3,0	2,0	6,0	8,0	14,0	21,0	34,0	57,0
8,0	2,0	3,0	4,0	7,0	8,0	14,0	19,0	27,0	48,0
8,2	0,0	2,0	3,0	3,0	5,0	13,0	17,0	30,0	41,0
8,4	0,0	3,0	5,0	5,0	6,0	10,0	16,0	20,0	34,0
8,6	1,0	2,0	3,0	4,0	3,0	8,0	15,0	18,0	21,0
8,8	1,0	1,0	2,0	1,0	3,0	8,0	6,0	14,0	16,0
9,0	1,0	1,0	2,0	4,0	2,0	6,0	10,0	10,0	14,0
9,2	1,0	2,0	1,0	4,0	3,0	5,0	8,0	10,0	18,0
9,4	0,0	0,0	4,0	3,0	5,0	4,0	6,0	11,0	20,0
9,6	1,0	1,0	3,0	2,0	5,0	6,0	7,0	6,0	12,0
9,8	1,0	1,0	1,0	2,0	4,0	3,0	8,0	4,0	7,0
10,0	0,0	2,0	1,0	3,0	2,0	3,0	5,0	7,0	6,0
10,2	1,0	1,0	2,0	2,0	3,0	1,0	5,0	8,0	12,0
10,4	1,0	1,0	1,0	2,0	3,0	6,0	3,0	9,0	7,0
10,6	1,0	1,0	2,0	1,0	1,0	4,0	7,0	8,0	13,0
10,8	1,0	2,0	0,0	0,0	2,0	6,0	4,0	6,0	12,0
11,0	1,0	3,0	2,0	4,0	4,0	4,0	6,0	9,0	10,0
11,2	1,0	2,0	2,0	2,0	4,0	3,0	8,0	6,0	17,0
11,3	1,0	2,0	1,0	1,0	3,0	5,0	6,0	7,0	11,0
11,6	1,0	1,0	3,0	3,0	3,0	2,0	4,0	11,0	11,0
11,8	1,0	2,0	2,0	1,0	3,0	5,0	7,0	5,0	16,0
12,0	0,0	1,0	1,0	2,0	3,0	3,0	6,0	10,0	11,0
12,2	0,0	1,0	2,0	2,0	2,0	3,0	5,0	6,0	9,0
12,4	0,0	1,0	1,0	2,0	2,0	3,0	7,0	11,0	14,0
12,6	0,0	1,0	2,0	0,0	2,0	5,0	7,0	13,0	12,0
12,8	1,0	0,0	1,0	0,0	4,0	6,0	9,0	11,0	17,0
13,0	0,0	0,0	1,0	4,0	5,0	3,0	5,0	11,0	22,0
13,2	0,0	1,0	2,0	3,0	2,0	6,0	6,0	10,0	20,0
13,4	0,0	1,0	1,0	4,0	5,0	5,0	4,0	13,0	33,0
13,6	0,0	1,0	2,0	3,0	2,0	6,0	4,0	19,0	50,0
13,8	3,0	1,0	0,0	3,0	2,0	3,0	7,0	19,0	62,0
14,0	0,0	2,0	1,0	5,0	3,0	5,0	4,0	18,0	68,0
14,2	1,0	2,0	1,0	2,0	2,0	5,0	8,0	26,0	80,0
14,4	2,0	1,0	0,0	2,0	4,0	4,0	8,0	40,0	94,0
14,6	0,0	1,0	2,0	3,0	3,0	7,0	10,0	56,0	112,0
14,8	0,0	1,0	1,0	1,0	2,0	7,0	19,0	55,0	115,0
15,0	0,0	1,0	1,0	1,0	4,0	7,0	15,0	62,0	119,0
15,2	0,0	1,0	2,0	3,0	4,0	8,0	25,0	79,0	126,0
15,4	0,0	1,0	1,0	3,0	5,0	6,0	41,0	80,0	120,0
15,6	0,0	0,0	3,0	4,0	5,0	13,0	44,0	85,0	134,0
15,8	2,0	1,0	1,0	1,0	2,0	13,0	44,0	91,0	139,0
16,0	0,0	1,0	1,0	3,0	4,0	15,0	52,0	105,0	128,0
16,2	0,0	3,0	1,0	2,0	5,0	24,0	70,0	95,0	122,0
16,4	0,0	1,0	2,0	6,0	9,0	25,0	70,0	102,0	142,0
16,6	0,0	2,0	2,0	5,0	6,0	35,0	55,0	112,0	142,0
16,7	1,0	2,0	3,0	3,0	12,0	39,0	76,0	110,0	142,0
17,0	1,0	2,0	1,0	4,0	12,0	52,0	81,0	103,0	144,0
17,2	1,0	2,0	1,0	4,0	19,0	53,0	80,0	117,0	133,0
17,4	1,0	2,0	2,0	2,0	22,0	50,0	80,0	105,0	134,0
17,6	0,0	2,0	3,0	3,0	26,0	60,0	85,0	114,0	151,0
17,7	2,0	0,0	1,0	3,0	21,0	54,0	88,0	123,0	160,0
18,0	0,0	0,0	3,0	6,0	28,0	69,0	87,0	108,0	135,0
18,2	0,0	1,0	2,0	8,0	36,0	71,0	98,0	135,0	144,0
18,4	1,0	3,0	3,0	13,0	37,0	67,0	90,0	129,0	146,0
18,6	1,0	1,0	2,0	16,0	37,0	76,0	85,0	118,0	146,0
18,8	1,0	1,0	2,0	14,0	55,0	75,0	91,0	122,0	138,0
19,0	0,0	1,0	1,0	18,0	55,0	69,0	102,0	110,0	118,0
19,2	1,0	2,0	2,0	27,0	50,0	71,0	97,0	119,0	166,0
19,4	1,0	0,0	4,0	25,0	50,0	71,0	98,0	119,0	146,0
19,6	1,0	0,0	2,0	28,0	60,0	69,0	90,0	124,0	166,0
19,8	1,0	2,0	2,0	36,0	63,0	78,0	115,0	135,0	155,0
20,0	0,0	1,0	6,0	29,0	56,0	84,0	107,0	121,0	149,0
20,2	2,0	3,0	13,0	34,0	69,0	90,0	102,0	129,0	139,0
20,4	0,0	3,0	13,0	44,0	60,0	89,0	107,0	138,0	152,0
20,6	0,0	1,0	16,0	42,0	71,0	97,0	112,0	155,0	159,0
20,8	1,0	1,0	19,0	53,0	78,0	99,0	116,0	148,0	175,0
21,0	0,0	2,0	19,0	46,0	75,0	93,0	128,0	137,0	162,0
21,2	0,0	3,0	28,0	63,0	81,0	87,0	156,0	140,0	177,0
21,4	0,0	2,0	24,0	55,0	81,0	103,0	124,0	140,0	182,0
21,6	1,0	2,0	32,0	50,0	85,0	110,0	136,0	158,0	170,0
21,7	0,0	2,0	33,0	66,0	88,0	113,0	132,0	165,0	196,0
22,0	0,0	3,0	33,0	65,0	77,0	108,0	135,0	167,0	170,0
22,2	0,0	7,0	39,0	66,0	87,0	124,0	155,0	165,0	192,0
22,4	1,0	10,0	42,0	68,0	102,0	123,0	135,0	178,0	203,0
22,6	0,0	13,0	42,0	63,0	100,0	124,0	139,0	169,0	183,0
22,8	0,0	10,0	45,0	71,0	106,0	122,0	147,0	162,0	194,0
23,0	1,0	21,0	39,0	71,0	94,0	127,0	142,0	156,0	189,0
23,2	0,0	23,0	58,0	76,0	109,0	151,0	145,0	191,0	211,0
23,4	2,0	21,0	59,0	82,0	102,0	125,0	140,0	171,0	202,0
23,6	1,0	23,0	52,0	96,0	126,0	131,0	140,0	181,0	194,0
23,8	1,0	31,0	63,0	77,0	107,0	126,0	149,0	166,0	204,0
24,0	1,0	32,0	58,0	75,0	106,0	125,0	156,0	176,0	206,0
24,2	1,0	27,0	71,0	88,0	96,0	141,0	151,0	173,0	208,0
24,4	0,0	30,0	56,0	86,0	118,0	131,0	157,0	187,0	192,0
24,6	0,0	28,0	72,0	78,0	119,0	139,0	149,0	164,0	177,0
24,7	3,0	39,0	58,0	92,0	121,0	137,0	156,0	192,0	190,0
25,0	3,0	35,0	61,0	95,0	107,0	121,0	145,0	155,0	187,0
25,2	6,0	45,0	69,0	90,0	110,0	130,0	158,0	170,0	212,0
25,4	13,0	46,0	69,0	94,0	107,0	119,0	139,0	173,0	179,0
25,6	14,0	51,0	76,0	89,0	111,0	126,0	146,0	159,0	212,0
25,8	16,0	40,0	71,0	95,0	108,0	136,0	146,0	172,0	194,0
26,0	16,0	42,0	71,0	95,0	103,0	135,0	161,0	171,0	220,0
26,2	18,0	52,0	79,0	88,0	95,0	128,0	159,0	170,0	201,0
26,4	0,0	63,0	81,0	97,0	129,0	141,0	174,0	172,0	200,0
26,6	20,0	42,0	74,0	90,0	118,0	129,0	169,0	177,0	198,0
26,8	24,0	54,0	82,0	104,0	114,0	117,0	147,0	211,0	207,0
27,0	27,0	53,0	73,0	101,0	114,0	142,0	157,0	185,0	195,0
27,2	31,0	50,0	78,0	96,0	122,0	139,0	145,0	184,0	207,0
27,4	26,0	53,0	59,0	84,0	116,0	112,0	140,0	179,0	209,0
27,6	31,0	50,0	62,0	85,0	100,0	124,0	149,0	151,0	173,0
27,8	27,0	49,0	56,0	87,0	103,0	120,0	132,0	157,0	165,0
28,0	25,0	35,0	46,0	80,0	90,0	111,0	133,0	156,0	175,0
28,2	21,0	43,0	66,0	88,0	102,0	109,0	114,0	144,0	162,0
28,4	20,0	47,0	59,0	62,0	81,0	82,0	96,0	134,0	152,0
28,6	25,0	33,0	61,0	74,0	87,0	89,0	102,0	128,0	160,0
28,8	22,0	26,0	48,0	62,0	72,0	79,0	90,0	117,0	143,0
29,0	18,0	35,0	47,0	59,0	73,0	79,0	105,0	105,0	138,0
29,2	19,0	36,0	57,0	57,0	72,0	81,0	97,0	108,0	132,0
29,4	18,0	35,0	47,0	61,0	71,0	80,0	100,0	101,0	130,0
29,6	20,0	37,0	46,0	49,0	67,0	80,0	83,0	95,0	118,0
29,8	23,0	32,0	46,0	50,0	60,0	84,0	99,0	108,0	122,0
30,0	21,0	37,0	43,0	49,0	58,0	74,0	84,0	101,0	112,0
30,2	20,0	34,0	43,0	48,0	50,0	76,0	87,0	100,0	126,0
30,4	21,0	31,0	36,0	49,0	71,0	83,0	88,0	92,0	116,0
30,6	20,0	33,0	48,0	54,0	64,0	78,0	87,0	106,0	103,0
30,8	16,0	25,0	34,0	52,0	52,0	63,0	82,0	101,0	91,0
31,0	13,0	31,0	38,0	50,0	64,0	71,0	81,0	91,0	107,0
31,2	18,0	28,0	37,0	40,0	53,0	59,0	85,0	92,0	94,0
31,4	19,0	34,0	38,0	49,0	58,0	69,0	81,0	90,0	90,0
31,6	18,0	24,0	36,0	46,0	48,0	59,0	69,0	82,0	96,0
31,8	20,0	23,0	32,0	37,0	46,0	71,0	72,0	88,0	86,0
32,0	18,0	31,0	35,0	46,0	55,0	68,0	66,0	80,0	98,0
32,2	16,0	27,0	35,0	43,0	56,0	53,0	72,0	76,0	85,0
32,4	21,0	22,0	33,0	36,0	49,0	65,0	70,0	73,0	83,0
32,5	10,0	23,0	31,0	38,0	61,0	53,0	59,0	75,0	92,0
32,8	17,0	29,0	32,0	43,0	44,0	48,0	54,0	75,0	93,0
33,0	21,0	27,0	27,0	34,0	47,0	54,0	53,0	76,0	82,0
33,2	14,0	21,0	27,0	35,0	45,0	58,0	67,0	74,0	86,0
33,4	18,0	22,0	32,0	35,0	45,0	47,0	64,0	72,0	69,0
33,6	14,0	21,0	32,0	35,0	46,0	53,0	55,0	65,0	79,0
33,8	10,0	22,0	26,0	41,0	41,0	46,0	56,0	70,0	80,0
34,0	10,0	0,0	22,0	31,0	45,0	47,0	54,0	65,0	67,0
34,2	14,0	22,0	35,0	35,0	45,0	53,0	68,0	59,0	72,0
34,4	18,0	25,0	31,0	30,0	33,0	43,0	41,0	58,0	62,0
34,5	16,0	20,0	25,0	30,0	35,0	48,0	50,0	57,0	62,0
34,8	12,0	23,0	24,0	27,0	31,0	42,0	51,0	51,0	59,0
35,0	20,0	17,0	23,0	25,0	35,0	37,0	48,0	70,0	70,0
35,2	20,0	21,0	24,0	30,0	38,0	38,0	49,0	59,0	57,0
35,4	11,0	18,0	21,0	33,0	40,0	48,0	46,0	54,0	51,0
35,5	13,0	20,0	23,0	30,0	36,0	38,0	50,0	53,0	63,0
35,8	14,0	18,0	18,0	26,0	27,0	43,0	52,0	53,0	72,0
36,0	13,0	18,0	22,0	26,0	33,0	41,0	48,0	53,0	54,0
36,2	12,0	20,0	24,0	21,0	30,0	32,0	43,0	44,0	48,0
36,4	15,0	17,0	22,0	22,0	31,0	41,0	48,0	47,0	57,0
36,5	18,0	18,0	23,0	26,0	34,0	35,0	51,0	45,0	56,0
36,8	11,0	17,0	21,0	28,0	32,0	33,0	42,0	55,0	45,0
37,0	15,0	20,0	17,0	31,0	39,0	35,0	37,0	60,0	54,0
37,2	14,0	14,0	15,0	26,0	32,0	40,0	33,0	45,0	47,0
37,4	15,0	18,0	17,0	23,0	32,0	34,0	42,0	46,0	51,0
37,5	9,0	16,0	27,0	29,0	33,0	29,0	45,0	49,0	55,0
37,8	14,0	18,0	21,0	17,0	30,0	36,0	38,0	44,0	42,0
38,0	15,0	13,0	26,0	31,0	30,0	37,0	39,0	44,0	53,0
38,2	12,0	13,0	28,0	22,0	28,0	31,0	36,0	43,0	46,0
38,4	14,0	18,0	24,0	31,0	27,0	34,0	41,0	44,0	59,0
38,6	16,0	17,0	23,0	28,0	41,0	35,0	52,0	46,0	51,0
38,8	12,0	13,0	23,0	30,0	32,0	38,0	40,0	44,0	57,0
39,0	15,0	21,0	23,0	26,0	41,0	45,0	42,0	54,0	57,0
39,2	16,0	18,0	22,0	35,0	42,0	50,0	54,0	59,0	54,0
39,4	17,0	29,0	24,0	32,0	43,0	49,0	46,0	55,0	53,0
39,5	25,0	23,0	32,0	39,0	46,0	54,0	61,0	61,0	69,0
39,8	18,0	21,0	25,0	34,0	27,0	43,0	49,0	40,0	56,0
40,0	19,0	29,0	32,0	43,0	47,0	56,0	61,0	58,0	71,0
40,2	27,0	29,0	31,0	41,0	38,0	46,0	50,0	60,0	65,0
40,4	18,0	24,0	34,0	41,0	44,0	48,0	52,0	56,0	72,0
40,5	17,0	35,0	28,0	40,0	41,0	58,0	59,0	62,0	61,0
40,8	25,0	24,0	31,0	42,0	39,0	57,0	63,0	64,0	64,0
41,0	24,0	26,0	34,0	32,0	53,0	63,0	61,0	70,0	78,0
41,2	24,0	28,0	37,0	63,0	59,0	74,0	81,0	85,0	92,0
41,4	25,0	33,0	54,0	65,0	81,0	85,0	106,0	113,0	135,0
41,5	50,0	72,0	120,0	142,0	163,0	215,0	244,0	265,0	310,0
41,8	92,0	148,0	210,0	272,0	330,0	418,0	445,0	538,0	580,0
42,0	399,0	552,0	822,0	1046,0	1278,0	1516,0	1819,0	1990,0	2258,0
42,2	63,0	91,0	141,0	196,0	234,0	290,0	364,0	446,0	537,0
42,4	35,0	43,0	56,0	71,0	82,0	100,0	105,0	135,0	163,0
42,6	31,0	40,0	54,0	60,0	86,0	91,0	120,0	120,0	152,0
42,8	25,0	36,0	44,0	60,0	60,0	89,0	87,0	120,0	126,0
43,0	27,0	27,0	41,0	60,0	57,0	78,0	97,0	95,0	116,0
43,2	18,0	35,0	47,0	58,0	60,0	80,0	89,0	102,0	101,0
43,4	22,0	26,0	40,0	54,0	63,0	66,0	84,0	91,0	108,0
43,6	20,0	36,0	42,0	52,0	67,0	79,0	85,0	101,0	101,0
43,8	18,0	28,0	39,0	49,0	59,0	68,0	71,0	78,0	96,0
44,0	23,0	34,0	51,0	54,0	61,0	76,0	93,0	96,0	95,0
44,2	18,0	23,0	31,0	43,0	67,0	72,0	77,0	93,0	94,0
44,4	20,0	25,0	46,0	49,0	63,0	74,0	91,0	100,0	107,0
44,5	21,0	29,0	37,0	55,0	77,0	73,0	73,0	94,0	96,0
44,8	28,0	34,0	37,0	49,0	56,0	80,0	76,0	101,0	91,0
45,0	22,0	29,0	41,0	48,0	65,0	65,0	80,0	85,0	98,0
45,2	23,0	31,0	35,0	48,0	74,0	61,0	78,0	101,0	100,0
45,4	22,0	28,0	39,0	54,0	72,0	72,0	98,0	102,0	111,0
45,5	24,0	29,0	41,0	59,0	75,0	84,0	106,0	103,0	114,0
45,8	18,0	36,0	59,0	63,0	87,0	114,0	129,0	128,0	141,0
46,0	41,0	55,0	81,0	112,0	136,0	145,0	192,0	221,0	242,0
46,2	197,0	301,0	428,0	548,0	697,0	821,0	981,0	1103,0	1205,0
46,4	1133,0	1664,0	2268,0	2825,0	3292,0	3781,0	4307,0	4708,0	5180,0
46,5	1743,0	2588,0	3438,0	4313,0	5137,0	5959,0	6850,0	7800,0	8823,0
46,8	104,0	168,0	229,0	332,0	396,0	511,0	626,0	760,0	863,0
47,0	30,0	40,0	53,0	77,0	94,0	115,0	127,0	153,0	179,0
