Kristallwinkel	Rate bei 15kV	Rate bei 17kV	Rate bei 19kV	Rate bei 21kV	Rate bei 23kV	Rate bei 25kV	Rate bei 27kV	Rate bei 29kV	Rate bei 31kV
theta/°	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s

3,5	1,0	2,0	4,0	2,0	9,0	17,0	21,0	30,0	58,0
3,6	1,0	2,0	5,0	5,0	7,0	17,0	21,0	31,0	60,0
3,7	2,0	2,0	1,0	2,0	8,0	11,0	16,0	26,0	42,0
3,8	2,0	2,0	5,0	4,0	7,0	9,0	17,0	28,0	34,0
3,9	4,0	1,0	2,0	5,0	3,0	9,0	13,0	21,0	23,0
4,0	1,0	1,0	2,0	4,0	4,0	6,0	8,0	14,0	27,0
4,1	0,0	2,0	2,0	1,0	8,0	6,0	9,0	15,0	26,0
4,2	1,0	1,0	2,0	5,0	6,0	3,0	8,0	13,0	17,0
4,3	0,0	2,0	1,0	3,0	2,0	5,0	5,0	9,0	11,0
4,4	0,0	3,0	1,0	2,0	1,0	3,0	6,0	8,0	8,0
4,5	0,0	1,0	0,0	0,0	2,0	3,0	4,0	3,0	7,0
4,6	0,0	0,0	1,0	1,0	6,0	2,0	4,0	6,0	8,0
4,7	1,0	0,0	1,0	0,0	1,0	4,0	3,0	3,0	16,0
4,8	0,0	0,0	1,0	1,0	1,0	2,0	2,0	3,0	7,0
4,9	0,0	1,0	1,0	1,0	1,0	2,0	1,0	5,0	6,0
5,0	0,0	0,0	0,0	2,0	3,0	2,0	6,0	4,0	8,0
5,1	0,0	1,0	1,0	1,0	3,0	2,0	4,0	4,0	6,0
5,2	0,0	1,0	2,0	2,0	3,0	1,0	4,0	6,0	10,0
5,3	0,0	2,0	0,0	2,0	1,0	3,0	3,0	7,0	10,0
5,4	0,0	0,0	2,0	1,0	2,0	5,0	3,0	5,0	13,0
5,5	0,0	1,0	2,0	0,0	6,0	2,0	3,0	6,0	23,0
5,6	0,0	1,0	2,0	2,0	3,0	2,0	3,0	4,0	32,0
5,7	1,0	0,0	0,0	3,0	2,0	2,0	3,0	4,0	44,0
5,8	0,0	0,0	0,0	2,0	2,0	2,0	2,0	9,0	50,0
5,9	0,0	1,0	0,0	1,0	2,0	3,0	7,0	16,0	55,0
6,0	0,0	1,0	4,0	1,0	1,0	3,0	5,0	24,0	81,0
6,1	1,0	0,0	2,0	2,0	1,0	2,0	6,0	34,0	75,0
6,2	0,0	0,0	2,0	1,0	1,0	2,0	6,0	36,0	94,0
6,3	0,0	0,0	1,0	0,0	2,0	1,0	6,0	49,0	88,0
6,4	0,0	0,0	2,0	1,0	2,0	3,0	14,0	48,0	104,0
6,5	0,0	1,0	0,0	0,0	1,0	2,0	19,0	59,0	112,0
6,6	0,0	2,0	0,0	2,0	3,0	4,0	27,0	65,0	111,0
6,7	0,0	0,0	0,0	1,0	2,0	3,0	29,0	80,0	121,0
6,8	1,0	0,0	1,0	2,0	2,0	5,0	32,0	81,0	115,0
6,9	1,0	1,0	0,0	2,0	1,0	10,0	39,0	79,0	116,0
7,0	0,0	0,0	2,0	1,0	1,0	11,0	43,0	82,0	100,0
7,1	0,0	0,0	2,0	2,0	4,0	21,0	46,0	90,0	117,0
7,2	1,0	0,0	0,0	1,0	1,0	20,0	50,0	76,0	119,0
7,3	0,0	0,0	0,0	3,0	5,0	23,0	60,0	80,0	112,0
7,4	0,0	0,0	0,0	0,0	6,0	34,0	68,0	89,0	121,0
7,5	0,0	1,0	2,0	2,0	2,0	27,0	66,0	90,0	100,0
7,6	0,0	1,0	1,0	2,0	7,0	35,0	58,0	83,0	111,0
7,7	1,0	1,0	0,0	1,0	4,0	41,0	58,0	87,0	114,0
7,8	1,0	0,0	0,0	3,0	13,0	48,0	66,0	78,0	104,0
7,9	0,0	0,0	3,0	2,0	14,0	43,0	67,0	76,0	116,0
8,0	1,0	1,0	1,0	2,0	16,0	40,0	75,0	92,0	114,0
8,1	0,0	1,0	2,0	1,0	18,0	47,0	69,0	81,0	113,0
8,2	2,0	0,0	1,0	2,0	24,0	39,0	71,0	88,0	107,0
8,3	2,0	1,0	2,0	5,0	22,0	39,0	66,0	87,0	116,0
8,4	1,0	2,0	3,0	3,0	20,0	41,0	64,0	90,0	108,0
8,5	0,0	0,0	2,0	7,0	32,0	52,0	79,0	94,0	115,0
8,6	1,0	0,0	0,0	6,0	32,0	52,0	67,0	93,0	103,0
8,7	0,0	0,0	1,0	8,0	41,0	55,0	73,0	98,0	100,0
8,8	0,0	2,0	1,0	15,0	37,0	46,0	76,0	94,0	118,0
8,9	1,0	2,0	1,0	8,0	29,0	51,0	71,0	87,0	116,0
9,0	1,0	1,0	1,0	18,0	45,0	73,0	88,0	113,0	139,0
9,1	0,0	0,0	3,0	18,0	36,0	67,0	85,0	87,0	96,0
9,2	2,0	0,0	1,0	20,0	46,0	66,0	84,0	95,0	119,0
9,3	1,0	0,0	4,0	24,0	39,0	59,0	82,0	99,0	118,0
9,4	0,0	1,0	3,0	31,0	48,0	69,0	87,0	109,0	110,0
9,5	0,0	1,0	10,0	42,0	63,0	90,0	99,0	145,0	137,0
9,6	0,0	1,0	12,0	34,0	56,0	68,0	82,0	105,0	127,0
9,7	1,0	0,0	15,0	40,0	63,0	71,0	100,0	118,0	139,0
9,8	0,0	0,0	12,0	39,0	57,0	83,0	95,0	125,0	143,0
9,9	0,0	0,0	13,0	39,0	57,0	80,0	102,0	104,0	112,0
10,0	1,0	0,0	24,0	43,0	66,0	101,0	106,0	154,0	150,0
10,1	0,0	0,0	32,0	42,0	58,0	77,0	105,0	109,0	135,0
10,2	0,0	1,0	23,0	42,0	72,0	87,0	122,0	137,0	159,0
10,3	0,0	2,0	31,0	46,0	77,0	89,0	102,0	133,0	149,0
10,4	0,0	1,0	30,0	53,0	68,0	81,0	111,0	149,0	169,0
10,5	0,0	5,0	38,0	57,0	81,0	110,0	133,0	156,0	186,0
10,6	1,0	7,0	28,0	42,0	72,0	89,0	117,0	156,0	148,0
10,7	1,0	8,0	38,0	60,0	88,0	111,0	130,0	148,0	152,0
10,8	0,0	9,0	27,0	52,0	62,0	96,0	118,0	145,0	167,0
10,9	0,0	10,0	29,0	50,0	70,0	97,0	107,0	121,0	138,0
11,0	0,0	16,0	51,0	69,0	85,0	115,0	145,0	169,0	184,0
11,1	0,0	13,0	39,0	62,0	72,0	110,0	119,0	135,0	153,0
11,2	2,0	18,0	47,0	60,0	77,0	107,0	131,0	147,0	175,0
11,3	0,0	14,0	40,0	58,0	80,0	114,0	123,0	143,0	154,0
11,4	0,0	18,0	36,0	70,0	73,0	98,0	132,0	125,0	147,0
11,5	1,0	34,0	50,0	74,0	106,0	118,0	156,0	193,0	209,0
11,6	0,0	19,0	47,0	62,0	87,0	104,0	130,0	144,0	182,0
11,7	0,0	25,0	49,0	71,0	100,0	125,0	130,0	149,0	157,0
11,8	2,0	29,0	40,0	64,0	87,0	104,0	145,0	147,0	162,0
11,9	3,0	29,0	53,0	62,0	78,0	101,0	110,0	149,0	150,0
12,0	4,0	35,0	65,0	85,0	117,0	142,0	159,0	174,0	220,0
12,1	5,0	35,0	57,0	75,0	88,0	112,0	140,0	167,0	180,0
12,2	8,0	30,0	69,0	73,0	95,0	110,0	143,0	167,0	207,0
12,3	11,0	43,0	64,0	78,0	105,0	134,0	141,0	161,0	226,0
12,4	10,0	43,0	51,0	63,0	102,0	121,0	124,0	150,0	200,0
12,5	16,0	42,0	65,0	101,0	125,0	141,0	163,0	203,0	233,0
12,6	12,0	36,0	61,0	93,0	102,0	136,0	134,0	169,0	212,0
12,7	24,0	43,0	62,0	101,0	116,0	140,0	164,0	214,0	237,0
12,8	21,0	48,0	67,0	95,0	120,0	140,0	156,0	188,0	223,0
12,9	20,0	49,0	70,0	93,0	126,0	134,0	160,0	187,0	224,0
13,0	16,0	56,0	81,0	99,0	126,0	158,0	172,0	199,0	223,0
13,1	24,0	49,0	70,0	97,0	125,0	150,0	158,0	172,0	253,0
13,2	27,0	53,0	64,0	98,0	112,0	127,0	154,0	165,0	197,0
13,3	18,0	43,0	71,0	95,0	96,0	121,0	128,0	170,0	218,0
13,4	28,0	51,0	70,0	92,0	98,0	122,0	149,0	168,0	199,0
13,5	20,0	51,0	62,0	97,0	107,0	127,0	151,0	190,0	197,0
13,6	15,0	43,0	57,0	80,0	107,0	117,0	130,0	162,0	178,0
13,7	28,0	41,0	60,0	69,0	93,0	107,0	135,0	146,0	179,0
13,8	18,0	43,0	57,0	74,0	94,0	103,0	127,0	161,0	161,0
13,9	25,0	45,0	58,0	71,0	81,0	102,0	121,0	141,0	153,0
