#Kristallwinkel	Rate bei 33kV
#theta/°	R(33kV)/Imp/s
#
3,5	80,0
3,6	80,0
3,7	72,0
3,8	58,0
3,9	38,0
4,0	32,0
4,1	34,0
4,2	26,0
4,3	19,0
4,4	15,0
4,5	11,0
4,6	13,0
4,7	13,0
4,8	14,0
4,9	14,0
5,0	15,0
5,1	21,0
5,2	33,0
5,3	44,0
5,4	64,0
5,5	75,0
5,6	97,0
5,7	103,0
5,8	117,0
5,9	132,0
6,0	128,0
6,1	135,0
6,2	138,0
6,3	168,0
6,4	142,0
6,5	147,0
6,6	141,0
6,7	160,0
6,8	135,0
6,9	164,0
7,0	142,0
7,1	149,0
7,2	140,0
7,3	138,0
7,4	130,0
7,5	133,0
7,6	136,0
7,7	140,0
7,8	134,0
7,9	119,0
8,0	126,0
8,1	138,0
8,2	141,0
8,3	129,0
8,4	121,0
8,5	129,0
8,6	114,0
8,7	137,0
8,8	123,0
8,9	121,0
9,0	152,0
9,1	141,0
9,2	131,0
9,3	151,0
9,4	143,0
9,5	175,0
9,6	137,0
9,7	179,0
9,8	171,0
9,9	161,0
10,0	183,0
10,1	165,0
10,2	189,0
10,3	209,0
10,4	194,0
10,5	219,0
10,6	181,0
10,7	210,0
10,8	184,0
10,9	176,0
11,0	224,0
11,1	191,0
11,2	182,0
11,3	182,0
11,4	204,0
11,5	231,0
11,6	216,0
11,7	199,0
11,8	209,0
11,9	204,0
12,0	248,0
12,1	217,0
12,2	239,0
12,3	235,0
12,4	231,0
12,5	260,0
12,6	229,0
12,7	265,0
12,8	252,0
12,9	267,0
13,0	256,0
13,1	274,0
13,2	230,0
13,3	224,0
13,4	245,0
13,5	232,0
13,6	237,0
13,7	203,0
13,8	186,0
13,9	176,0
14,0	177,0
14,1	177,0
14,2	179,0
14,3	186,0
14,4	194,0
14,5	189,0
14,6	181,0
14,7	204,0
14,8	171,0
14,9	176,0
15,0	171,0
15,1	202,0
15,2	174,0
15,3	174,0
15,4	170,0
15,5	176,0
15,6	164,0
15,7	153,0
15,8	154,0
15,9	157,0
16,0	169,0
16,1	154,0
16,2	157,0
16,3	154,0
16,4	161,0
16,5	134,0
16,6	155,0
16,7	149,0
16,8	136,0
16,9	144,0
17,0	142,0
17,1	144,0
17,2	120,0
17,3	149,0
17,4	145,0
17,5	138,0
17,6	133,0
17,7	135,0
17,8	128,0
17,9	122,0
18,0	125,0
18,1	121,0
18,2	0,0
18,3	119,0
18,4	126,0
18,5	110,0
18,6	117,0
18,7	108,0
18,8	132,0
18,9	137,0
19,0	118,0
19,1	120,0
19,2	116,0
19,3	102,0
19,4	103,0
19,5	105,0
19,6	105,0
19,7	113,0
19,8	102,0
19,9	114,0
20,0	107,0
20,1	96,0
20,2	109,0
20,3	105,0
20,4	114,0
20,5	85,0
20,6	113,0
20,7	98,0
20,8	95,0
20,9	106,0
21,0	97,0
21,1	102,0
21,2	95,0
21,3	94,0
21,4	104,0
21,5	87,0
21,6	94,0
21,7	85,0
21,8	78,0
21,9	87,0
22,0	65,0
22,1	86,0
22,2	65,0
22,3	75,0
22,4	81,0
22,5	74,0
22,6	92,0
22,7	92,0
22,8	85,0
22,9	66,0
23,0	70,0
23,1	85,0
23,2	62,0
23,3	80,0
23,4	64,0
23,5	71,0
23,6	74,0
23,7	59,0
23,8	61,0
23,9	65,0
24,0	54,0
24,1	65,0
24,2	59,0
24,3	57,0
24,4	56,0
24,5	54,0
24,6	57,0
24,7	58,0
24,8	47,0
24,9	50,0
25,0	53,0
25,1	47,0
25,2	46,0
25,3	54,0
25,4	55,0
25,5	41,0
25,6	50,0
25,7	60,0
25,8	75,0
25,9	294,0
26,0	393,0
26,1	279,0
26,2	68,0
26,3	51,0
26,4	50,0
26,5	60,0
26,6	43,0
26,7	38,0
26,8	57,0
26,9	43,0
27,0	37,0
27,1	51,0
27,2	39,0
27,3	37,0
27,4	32,0
27,5	30,0
27,6	35,0
27,7	29,0
27,8	36,0
27,9	39,0
28,0	40,0
28,1	34,0
28,2	33,0
28,3	31,0
28,4	31,0
28,5	37,0
28,6	32,0
28,7	128,0
28,8	800,0
28,9	840,0
29,0	388,0
29,1	59,0
29,2	37,0
29,3	29,0
29,4	33,0
29,5	18,0
29,6	24,0
29,7	25,0
29,8	21,0
29,9	23,0
30,0	20,0
30,1	23,0
30,2	22,0
30,3	24,0
30,4	25,0
30,5	21,0
30,6	23,0
30,7	21,0
30,8	22,0
30,9	23,0
31,0	26,0
31,1	19,0
31,2	22,0
31,3	23,0
31,4	22,0
31,5	23,0
31,6	23,0
31,7	17,0
31,8	21,0
31,9	22,0
32,0	19,0
32,1	15,0
32,2	17,0
32,3	18,0
32,4	16,0
32,5	19,0
32,6	24,0
32,7	23,0
32,8	14,0
32,9	18,0
33,0	22,0
33,1	16,0
33,2	18,0
33,3	23,0
33,4	17,0
33,5	16,0
33,6	11,0
33,7	16,0
33,8	15,0
33,9	14,0
34,0	19,0
34,1	14,0
34,2	20,0
34,3	16,0
34,4	18,0
34,5	0,0
34,6	10,0
34,7	16,0
34,8	11,0
34,9	16,0
35,0	21,0
35,1	10,0
35,2	17,0
35,3	14,0
35,4	11,0
35,5	13,0
35,6	13,0
35,7	12,0
35,8	16,0
35,9	13,0
36,0	9,0
36,1	15,0
36,2	13,0
36,3	14,0
36,4	11,0
36,5	13,0
36,6	15,0
36,7	16,0
36,8	9,0
36,9	8,0
37,0	11,0
37,1	14,0
37,2	9,0
37,3	13,0
37,4	11,0
37,5	7,0
37,6	8,0
37,7	13,0
