#Kristallwinkel	Rate bei 33kV
#theta/°	R(33kV)/Imp/s
#
3,5	120,0
3,6	96,0
3,7	85,0
3,8	61,0
3,9	47,0
4,0	35,0
4,1	35,0
4,2	29,0
4,3	24,0
4,4	20,0
4,5	12,0
4,6	17,0
4,7	17,0
4,8	11,0
4,9	14,0
5,0	17,0
5,1	19,0
5,2	21,0
5,3	61,0
5,4	171,0
5,5	309,0
5,6	417,0
5,7	484,0
5,8	624,0
5,9	692,0
6,0	730,0
6,1	798,0
6,2	797,0
6,3	994,0
6,4	912,0
6,5	985,0
6,6	978,0
6,7	1040,0
6,8	1017,0
6,9	1090,0
7,0	1077,0
7,1	1129,0
7,2	1115,0
7,3	1110,0
7,4	1098,0
7,5	1117,0
7,6	1038,0
7,7	1104,0
7,8	1067,0
7,9	1114,0
8,0	1066,0
8,1	1034,0
8,2	1002,0
8,3	1056,0
8,4	950,0
8,5	1086,0
8,6	985,0
8,7	998,0
8,8	1136,0
8,9	1386,0
9,0	2870,0
9,1	3467,0
9,2	1741,0
9,3	1167,0
9,4	1113,0
9,5	1177,0
9,6	1122,0
9,7	1158,0
9,8	1142,0
9,9	1132,0
10,0	1709,0
10,1	4025,0
10,2	9725,0
10,3	8720,0
10,4	3810,0
10,5	1232,0
10,6	1123,0
10,7	1117,0
10,8	1088,0
10,9	1068,0
11,0	1123,0
11,1	1162,0
11,2	1238,0
11,3	1356,0
11,4	1412,0
11,5	1703,0
11,6	1840,0
11,7	2071,0
11,8	2225,0
11,9	2298,0
12,0	2482,0
12,1	2449,0
12,2	2406,0
12,3	2396,0
12,4	2328,0
12,5	2378,0
12,6	2425,0
12,7	2367,0
12,8	2346,0
12,9	2367,0
13,0	2249,0
13,1	2234,0
13,2	2193,0
13,3	2168,0
13,4	2045,0
13,5	2080,0
13,6	2168,0
13,7	2252,0
13,8	2254,0
13,9	2137,0
14,0	1903,0
14,1	1459,0
14,2	970,0
14,3	741,0
14,4	658,0
14,5	631,0
